WMO;COUNTRY;LAUNCH_DATE;PROGRAM
3901863;European Union;2016/08/12;MOCCA-EU
3901893;European Union;2017/04/15;MOCCA-EU
3901892;European Union;2017/04/14;MOCCA-EU
3901854;European Union;2016/11/02;MOCCA-EU
3901873;European Union;2016/09/04;MOCCA-EU
3901929;European Union;2017/01/22;MOCCA-EU
3901899;European Union;2017/01/22;MOCCA-EU
3901895;European Union;2017/04/14;MOCCA-EU
3901957;European Union;2018/05/20;MOCCA-EU
3901983;European Union;2018/04/29;MOCCA-EU
3901985;European Union;2018/02/07;MOCCA-EU
3902136;European Union;2017/12/30;MOCCA-EU
3901871;European Union;2016/08/29;MOCCA-EU
3901856;European Union;2016/08/09;MOCCA-EU
3901858;European Union;2016/08/14;MOCCA-EU
3901872;European Union;2016/08/23;MOCCA-EU
3901923;European Union;2016/12/03;MOCCA-EU
3901927;European Union;2016/12/05;MOCCA-EU
3901925;European Union;2016/12/04;MOCCA-EU
3901855;European Union;2016/10/22;MOCCA-EU
3901906;European Union;2017/03/10;MOCCA-EU
3901915;European Union;2017/08/10;MOCCA-EU
3901913;European Union;2017/08/10;MOCCA-EU
3901942;European Union;2017/09/20;MOCCA-EU
3901965;European Union;2017/07/25;MOCCA-EU
3901916;European Union;2017/08/10;MOCCA-EU
3901939;European Union;2017/09/18;MOCCA-EU
3901933;European Union;2017/10/31;MOCCA-EU
3901981;European Union;2018/05/04;MOCCA-EU
3901979;European Union;2018/02/06;MOCCA-EU
3901987;European Union;2018/02/06;MOCCA-EU
3901984;European Union;2018/08/26;MOCCA-EU
3902134;European Union;2018/10/04;MOCCA-EU
6900790;European Union;2018/11/21;MOCCA-EU
3901995;European Union;2018/12/20;MOCCA-EU
3901867;European Union;2016/10/11;MOCCA-EU
3901852;European Union;2016/12/06;MOCCA-EU
3901903;European Union;2016/12/16;MOCCA-EU
3901934;European Union;2017/01/10;MOCCA-EU
3901905;European Union;2017/01/23;MOCCA-EU
3901950;European Union;2017/12/18;MOCCA-EU
3901941;European Union;2017/09/21;MOCCA-EU
3901982;European Union;2018/05/02;MOCCA-EU
3901946;European Union;2018/01/23;MOCCA-EU
3901970;European Union;2018/07/20;MOCCA-EU
3901996;European Union;2018/12/26;MOCCA-EU
3901993;European Union;2018/12/28;MOCCA-EU
3901870;European Union;2016/11/10;MOCCA-EU
3901920;European Union;2016/12/02;MOCCA-EU
3901914;European Union;2017/08/10;MOCCA-EU
3901949;European Union;2017/12/16;MOCCA-EU
3901959;European Union;2018/01/02;MOCCA-EU
3901960;European Union;2018/01/05;MOCCA-EU
3901952;European Union;2017/10/05;MOCCA-EU
3902135;European Union;2018/01/01;MOCCA-EU
3901869;European Union;2016/11/10;MOCCA-EU
3901865;European Union;2016/09/08;MOCCA-EU
3901857;European Union;2016/08/12;MOCCA-EU
3901924;European Union;2016/12/04;MOCCA-EU
3901918;European Union;2016/12/01;MOCCA-EU
3901859;European Union;2016/09/01;MOCCA-EU
3901853;European Union;2016/10/28;MOCCA-EU
3901875;European Union;2016/08/23;MOCCA-EU
3901860;European Union;2016/09/05;MOCCA-EU
3901861;European Union;2016/09/06;MOCCA-EU
