WMO;COUNTRY;LAUNCH_DATE;PROGRAM
5900020_001;China;2002/10/21;Argo CHINA
2900314;Japan;2001/10/12;Argo JAMSTEC
5900086;United States;2001/07/23;Argo SIO
5900020;United States;2000/10/18;Argo SIO
2900043;Japan;2001/02/15;Argo JAMSTEC
2900042;Japan;2001/02/15;Argo JAMSTEC
2900045;Japan;2001/02/16;Argo JAMSTEC
2900044;Japan;2001/02/16;Argo JAMSTEC
2900047;Japan;2001/02/16;Argo JAMSTEC
2900046;Japan;2001/02/16;Argo JAMSTEC
2900056;Japan;2001/06/14;Argo JAMSTEC
2900049;Japan;2001/02/16;Argo JAMSTEC
2900048;Japan;2001/02/16;Argo JAMSTEC
2900050;Japan;2001/02/16;Argo JAMSTEC
2900051;Japan;2001/02/17;Argo JAMSTEC
2900052;Japan;2001/02/17;Argo JAMSTEC
2900053;Japan;2001/02/17;Argo JAMSTEC
2900057;Japan;2001/06/17;Argo JAMSTEC
5900143;Japan;2001/10/23;Argo JAMSTEC
2900054;Japan;2001/02/17;Argo JAMSTEC
4900115;Canada;2001/06/15;Argo CANADA
6900080;United Kingdom;2001/05/20;Argo UK
6900081;United Kingdom;2001/05/10;Argo UK
6900079;United Kingdom;2001/05/06;Argo UK
5900099;United States;2001/07/15;Argo SIO
5900097;United States;2001/07/09;Argo SIO
5900096;United States;2001/07/13;Argo SIO
5900095;United States;2001/07/11;Argo SIO
5900094;United States;2001/07/19;Argo SIO
5900093;United States;2001/07/18;Argo SIO
5900092;United States;2001/07/17;Argo SIO
2900168;United Kingdom;2001/10/29;Argo UK
2900167;United Kingdom;2001/10/31;Argo UK
2900166;United Kingdom;2001/11/02;Argo UK
2900165;United Kingdom;2001/11/03;Argo UK
2900164;United Kingdom;2001/11/01;Argo UK
2900163;United Kingdom;2001/12/09;Argo UK
2900162;United Kingdom;2001/12/09;Argo UK
2900161;United Kingdom;2001/12/08;Argo UK
2900160;United Kingdom;2001/12/08;Argo UK
2900159;United Kingdom;2001/12/08;Argo UK
6900196;United Kingdom;2001/10/30;Argo UK
6900195;United Kingdom;2001/10/29;Argo UK
1900087;United Kingdom;2001/07/13;Argo UK
1900086;United Kingdom;2001/07/15;Argo UK
1900085;United Kingdom;2001/07/16;Argo UK
1900084;United Kingdom;2001/08/15;Argo UK
1900083;United Kingdom;2001/08/16;Argo UK
5900144;Japan;2001/10/24;Argo JAMSTEC
1900065;European Union;2002/03/06;Gyroscope
1900064;European Union;2002/03/05;Gyroscope
6900045;European Union;2001/07/25;Gyroscope
6900046;European Union;2001/07/25;Gyroscope
2900192;Japan;2002/07/11;Argo JAMSTEC
2900191;Japan;2002/01/27;Argo JAMSTEC
2900190;Japan;2002/01/09;Argo JAMSTEC
2900317;Japan;2002/03/28;Argo JAMSTEC
5900153;Japan;2001/12/06;Argo JAMSTEC
5900152;Japan;2002/01/09;Argo JAMSTEC
5900151;Japan;2001/12/04;Argo JAMSTEC
5900150;Japan;2001/12/05;Argo JAMSTEC
5900450;Japan;2001/12/02;Argo JAMSTEC
5900147;Japan;2001/10/26;Argo JAMSTEC
5900146;Japan;2001/10/24;Argo JAMSTEC
5900145;Japan;2001/10/24;Argo JAMSTEC
5900449;Japan;2001/12/02;Argo JAMSTEC
5900310;Japan;2003/02/06;Argo JAMSTEC
4900059;United States;2001/03/23;Argo SIO
5900025;United States;2000/10/19;Argo SIO
5900022;United States;2000/10/17;Argo SIO
5900130;United States;2002/02/11;Argo SIO
3900049;United States;2001/02/26;Argo SIO
5900084;United States;2001/07/06;Argo SIO
4900062;United States;2001/04/26;Argo SIO
6900030;France;2000/04/25;Coriolis
6900005;France;1999/09/27;Argo eq. POMME
6900003;France;1999/09/28;Argo eq. POMME
6900004;France;1999/10/01;Argo eq. POMME
6900001;France;1999/10/02;Argo eq. POMME
6900000;France;1999/10/01;Argo eq. POMME
1500854;United States;1997/08/05;Argo eq. AOML
3900007;United States;2000/01/15;Argo eq. AOML
1500855;United States;2000/01/14;Argo eq. AOML
3900008;United States;2000/01/15;Argo eq. AOML
1500853;United States;1997/08/05;Argo eq. AOML
3100859;United States;1997/07/31;Argo eq. AOML
1300859;United States;1997/07/20;Argo eq. AOML
1500851;United States;1997/08/09;Argo eq. AOML
1500852;United States;1997/08/08;Argo eq. AOML
4900147;United States;2001/05/28;Argo WHOI
4900148;United States;2001/05/26;Argo WHOI
4900149;United States;2001/05/28;Argo WHOI
4900150;United States;2001/05/27;Argo WHOI
4900151;United States;2001/05/27;Argo WHOI
5900018;United States;2000/06/06;Argo SIO
3900055;United States;2001/04/24;Argo SIO
5900203;United States;2002/10/12;Argo SIO
5900049;United States;2000/12/04;Argo SIO
2900084;United States;2002/04/11;Argo eq. NAVOCEANO
6900090;United States;2002/01/10;Argo eq. NAVOCEANO
6900092;United States;2002/01/10;Argo eq. NAVOCEANO
6900093;United States;2002/01/10;Argo eq. NAVOCEANO
6900094;United States;2002/01/10;Argo eq. NAVOCEANO
6900095;United States;2002/01/10;Argo eq. NAVOCEANO
5900016;United States;2000/07/04;Argo SIO
1300857;United States;1997/07/07;Argo eq. AOML
1500819;United States;1997/02/03;Argo eq. AOML
1500820;United States;1997/08/04;Argo eq. AOML
3100857;United States;1997/08/01;Argo eq. AOML
3100858;United States;1997/07/24;Argo eq. AOML
6900031;France;2000/04/26;Coriolis
3900041;United States;2000/12/15;Argo UW
3900042;United States;2000/12/17;Argo UW
1900018;United States;2000/12/14;Argo UW
1900021;United States;2000/12/19;Argo UW
3900043;United States;2000/12/13;Argo UW
3900044;United States;2001/04/10;Argo UW
3900045;United States;2000/12/16;Argo UW
3900046;United States;2000/12/15;Argo UW
1900019;United States;2000/12/18;Argo UW
1900020;United States;2000/12/19;Argo UW
4100952;United States;2000/12/12;Argo UW
3900039;United States;2000/12/17;Argo UW
3900033;United States;2000/10/29;Argo UW
3900032;United States;2000/10/21;Argo UW
3900035;United States;2000/11/03;Argo UW
4100951;United States;2000/08/29;Argo UW
4100953;United States;2000/12/12;Argo UW
3900037;United States;2000/12/14;Argo UW
3900038;United States;2000/12/16;Argo UW
3900029;United States;2000/07/02;Argo UW
3900030;United States;2000/07/03;Argo UW
3900031;United States;2000/07/04;Argo UW
5900019;United States;2000/07/05;Argo UW
3900034;United States;2000/11/01;Argo UW
