WMO;COUNTRY;LAUNCH_DATE;PROGRAM
3901496;United Kingdom;2014/10/20;Argo UK Bio
3901497;United Kingdom;2014/10/24;Argo UK Bio
3901498;United Kingdom;2014/10/25;Argo UK Bio
3901530;United Kingdom;2016/11/28;Argo UK Bio
3901531;United Kingdom;2016/11/29;Argo UK Bio
3901578;United Kingdom;2023/03/16;Argo UK Bio
3901579;United Kingdom;2023/03/26;Argo UK Bio
6901151;European Union;2013/10/14;E-AIMS
6901152;European Union;2013/10/14;E-AIMS
6901174;United Kingdom;2014/10/09;Argo UK Bio
6901175;United Kingdom;2014/10/10;Argo UK Bio
6901180;United Kingdom;2015/11/13;Argo UK Bio
6901181;United Kingdom;2015/11/12;Argo UK Bio
6901182;United Kingdom;2015/12/28;Argo UK Bio
6901183;United Kingdom;2015/12/26;Argo UK Bio
6901933;Ireland;2019/05/28;Argo IRELAND
6901939;Ireland;2021/03/08;Argo IRELAND
6904182;United Kingdom;2022/02/16;Argo UK Bio
6904183;United Kingdom;2022/03/03;Argo UK Bio
6904184;United Kingdom;2022/03/04;Argo UK Bio
6904185;United Kingdom;2022/07/24;Argo UK Bio
6904186;United Kingdom;2023/02/23;Argo UK Bio
6904187;United Kingdom;2023/03/04;Argo UK Bio
6904188;United Kingdom;2023/03/09;Argo UK Bio
6904189;United Kingdom;2023/03/13;Argo UK Bio
1900650;Germany;2006/06/11;Argo IFM-GEOMAR
1900651;Germany;2006/06/19;Argo IFM-GEOMAR
1900652;Germany;2006/07/03;Argo IFM-GEOMAR
1900943;Germany;2007/02/13;Argo eq. IFM2
1901205;France;2011/07/21;Coriolis-OVIDE
1901206;France;2011/07/23;Coriolis-OVIDE
1901207;France;2010/10/10;Coriolis-Good Hope
1901208;France;2011/07/24;Coriolis-OVIDE
1901209;France;2011/08/12;Coriolis-OVIDE
1901210;France;2011/07/17;Coriolis-OVIDE
1901211;France;2011/06/29;Coriolis-OVIDE
1901212;France;2011/06/30;Coriolis-OVIDE
1901213;France;2011/07/05;Coriolis-OVIDE
1901214;France;2011/07/21;Coriolis-OVIDE
1901215;France;2011/07/23;Coriolis-OVIDE
1901217;France;2011/07/26;Coriolis-OVIDE
1901218;France;2011/07/29;Coriolis-OVIDE
1901360;Germany;2014/06/25;Argo BSH
1901361;Germany;2014/06/25;Argo BSH
1901362;Germany;2014/06/25;Argo BSH
1901363;Germany;2014/06/25;Argo BSH
1901364;Germany;2014/06/25;Argo BSH
1901365;Germany;2014/06/25;Argo BSH
1902578;France;2022/05/29;REFINE
1902593;France;2023/02/11;REFINE
1902601;France;2023/03/07;REFINE
1902602;Norway;2023/05/19;Argo NORWAY
1902604;Norway;2023/05/20;Argo NORWAY
1902605;Italy;2023/04/28;Argo ITALY
