WMO;COUNTRY;LAUNCH_DATE;PROGRAM
1900063;European Union;2002/03/03;Gyroscope
1900064;European Union;2002/03/05;Gyroscope
1900065;European Union;2002/03/06;Gyroscope
1900066;European Union;2002/03/08;Gyroscope
1900067;European Union;2002/03/09;Gyroscope
1900068;European Union;2002/03/21;Gyroscope
1900070;European Union;2002/03/22;Gyroscope
1900071;European Union;2002/03/22;Gyroscope
1900072;European Union;2002/03/05;Gyroscope
1900073;European Union;2002/03/10;Gyroscope
1900074;European Union;2002/03/20;Gyroscope
1900075;European Union;2002/03/21;Gyroscope
1900076;European Union;2002/09/11;Gyroscope
1900077;European Union;2002/09/12;Gyroscope
1900078;European Union;2002/09/15;Gyroscope
1900079;European Union;2002/09/22;Gyroscope
1900080;France;2002/09/11;Coriolis
1900081;France;2002/09/11;Coriolis
1900083;United Kingdom;2001/08/16;Argo UK
1900084;United Kingdom;2001/08/15;Argo UK
1900085;United Kingdom;2001/07/16;Argo UK
1900086;United Kingdom;2001/07/15;Argo UK
1900087;United Kingdom;2001/07/13;Argo UK
1900088;United Kingdom;2002/03/07;Argo UK
1900089;United Kingdom;2002/03/09;Argo UK
1900090;United Kingdom;2002/03/11;Argo UK
1900091;United Kingdom;2002/03/12;Argo UK
1900092;United Kingdom;2002/03/15;Argo UK
1900093;United Kingdom;2002/03/16;Argo UK
1900094;United Kingdom;2002/03/18;Argo UK
1900095;United Kingdom;2002/03/20;Argo UK
1900096;United Kingdom;2002/03/22;Argo UK
1900097;United Kingdom;2002/03/23;Argo UK
1900098;United Kingdom;2002/03/25;Argo UK
1900099;United Kingdom;2002/03/28;Argo UK
1900100;United Kingdom;2002/03/30;Argo UK
1900101;Germany;2001/12/05;Argo eq. AWI
1900102;Germany;2001/12/05;Argo eq. AWI
1900103;Germany;2001/12/06;Argo eq. AWI
1900104;Germany;2001/12/06;Argo eq. AWI
1900105;Germany;2001/12/06;Argo eq. AWI
1900106;Germany;2001/12/06;Argo eq. AWI
1900109;France;2005/10/25;Coriolis-Good Hope
1900110;France;2005/10/27;Coriolis-Good Hope
1900111;France;2005/10/28;Coriolis-Good Hope
1900112;France;2005/10/29;Coriolis-Good Hope
