# DMQC status and Data quality control statistics
# Project : ASD_Fleet
# Update date : 20231002022801

# Statistics per float for parameter TEMP
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
TEMP,1900733,aoml,USA,"Argo WHOI",2006/08/09,2008/05/21 12:04:53,1,6263,1,0,18,18,18,0,2008/05/21 12:04:53,2019/05/14,100.00,10,10,0,0,1,1,0,0,0,0,5,5,2,2
TEMP,1901250,bodc,GBR,"Argo UK",2010/04/03,2015/11/14 06:27:08,1,4930,1,0,129,129,129,0,2015/11/14 06:27:08,2023/08/11,100.00,114,114,14,14,0,0,0,0,1,1,0,0,0,0
TEMP,1901277,bodc,GBR,"Argo UK",2011/12/02,2018/07/09 06:46:35,1,4322,1,0,242,242,237,5,2018/05/19 23:20:13,2021/09/01,97.93,182,182,54,54,1,1,0,0,0,0,5,0,0,0
TEMP,1901294,bodc,GBR,"Argo UK",2011/05/27,2018/11/17 03:51:34,1,4511,1,0,271,271,268,3,2018/11/17 03:51:34,2023/08/23,98.89,231,230,40,38,0,0,0,0,0,0,0,0,0,0
TEMP,1901305,bodc,GBR,"Argo UK",2013/03/24,2019/05/23 02:51:44,1,3844,1,0,225,225,223,2,2019/05/23 02:51:44,2022/11/19,99.11,190,190,35,33,0,0,0,0,0,0,0,0,0,0
TEMP,1901355,coriolis,DEU,"Argo BSH",2012/11/07,2014/12/28 12:21:10,1,3981,1,0,74,74,74,0,2014/12/28 12:21:10,2021/05/20,100.00,72,72,2,2,0,0,0,0,0,0,0,0,0,0
TEMP,1901360,coriolis,DEU,"Argo BSH",2014/06/25,2017/05/29 20:57:01,1,3386,1,0,108,108,108,0,2017/05/29 20:57:01,2020/08/20,100.00,19,19,89,89,0,0,0,0,0,0,0,0,0,0
TEMP,1901362,coriolis,DEU,"Argo BSH",2014/06/25,2014/12/11 22:19:29,1,3386,1,0,18,18,18,0,2014/12/11 22:19:29,2017/06/15,100.00,10,10,8,8,0,0,0,0,0,0,0,0,0,0
TEMP,1901734,csiro,AUS,"Argo AUSTRALIA",2016/01/18,2022/10/07 17:16:57,1,2814,1,0,251,250,251,0,2022/10/07 17:16:57,2023/09/06,100.00,241,241,10,10,0,0,0,0,0,0,0,0,0,0
TEMP,1901735,csiro,AUS,"Argo AUSTRALIA",2016/11/13,2023/09/21 23:20:47,1,2514,1,0,251,215,231,0,2023/03/05 13:43:41,2023/09/06,92.03,226,206,25,25,0,0,0,0,0,0,0,0,0,0
TEMP,1901744,csiro,AUS,"Argo AUSTRALIA",2019/04/24,2023/07/13 00:38:29,1,1622,1,0,154,126,123,3,2022/08/27 02:02:44,2022/09/30,79.87,154,123,0,0,0,0,0,0,0,0,0,0,0,0
TEMP,1901764,csiro,AUS,"Argo AUSTRALIA",2021/03/30,2023/09/26 21:43:14,1,916,1,0,92,56,90,0,2023/09/06 21:49:45,2023/09/15,97.83,92,90,0,0,0,0,0,0,0,0,0,0,0,0
TEMP,1901805,aoml,USA,"Argo PMEL",2016/11/25,2023/10/01 19:10:42,1,2502,1,0,242,205,145,60,2020/11/25 19:20:59,2021/01/20,59.92,214,117,28,28,0,0,0,0,0,0,0,0,0,0
TEMP,1901832,aoml,USA,"Argo SIO",2016/02/25,2023/09/24 11:21:24,1,2776,1,0,312,264,300,0,2023/06/25 12:48:50,2023/07/05,96.15,310,298,2,2,0,0,0,0,0,0,0,0,0,0
TEMP,1901839,aoml,USA,"Argo SIO",2016/11/14,2023/09/24 08:11:35,1,2513,1,0,255,219,253,0,2023/09/04 09:02:03,2023/09/12,99.22,236,234,15,15,4,4,0,0,0,0,0,0,0,0
TEMP,1901840,aoml,USA,"Argo SIO",2016/11/15,2023/03/25 19:32:41,1,2512,1,0,251,228,251,0,2023/03/25 19:32:41,2023/09/12,100.00,0,0,251,251,0,0,0,0,0,0,0,0,0,0
TEMP,1901847,bodc,GBR,"Argo UK",2014/06/01,2021/04/16 11:23:25,1,3410,1,0,251,251,177,74,2019/04/17 14:12:20,2020/05/07,70.52,249,176,2,1,0,0,0,0,0,0,0,0,0,0
TEMP,1901860,bodc,GBR,"Argo UK",2015/12/04,2020/02/02 15:36:53,1,2859,1,0,152,152,88,64,2018/04/23 16:24:45,2020/06/05,57.89,150,88,2,0,0,0,0,0,0,0,0,0,0,0
TEMP,1901863,bodc,GBR,"Argo UK",2016/07/11,2023/09/24 17:05:32,1,2639,1,0,263,227,243,0,2023/03/08 17:07:40,2023/03/11,92.40,262,242,1,1,0,0,0,0,0,0,0,0,0,0
TEMP,1901865,bodc,GBR,"Argo UK",2016/07/12,2022/12/19 02:07:41,1,2638,1,0,236,228,236,0,2022/12/19 02:07:41,2023/08/26,100.00,235,235,1,1,0,0,0,0,0,0,0,0,0,0
TEMP,1901867,bodc,GBR,"Argo UK",2017/03/18,2023/09/24 23:49:50,1,2389,1,0,239,203,145,58,2021/02/26 23:49:52,2021/03/13,60.67,238,145,1,0,0,0,0,0,0,0,0,0,0,0
TEMP,1901873,bodc,GBR,"Argo UK",2016/07/24,2023/03/27 23:05:56,1,2626,1,0,238,220,238,0,2023/03/27 23:05:56,2023/09/14,100.00,237,237,0,0,0,0,1,1,0,0,0,0,0,0
TEMP,1901875,bodc,GBR,"Argo UK",2017/01/12,2023/02/16 13:54:42,1,2454,1,0,221,212,149,63,2021/01/06 17:51:33,2021/02/26,67.42,220,148,1,1,0,0,0,0,0,0,0,0,0,0
