# Warnings for PRES
# Project : ASD_Fleet
# Update date : 20230921022801

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
PRES,1900733,USA,,X,,
PRES,1901250,GBR,,X,,
PRES,1901277,GBR,,X,,
PRES,1901294,GBR,,X,,
PRES,1901305,GBR,,X,,
PRES,1901355,DEU,,X,,
PRES,1901360,DEU,,X,,
PRES,1901362,DEU,,X,,
PRES,1901734,AUS,,X,,
PRES,1901735,AUS,,X,,
PRES,1901744,AUS,,X,,
PRES,1901764,AUS,,X,,
PRES,1901805,USA,,X,,
PRES,1901832,USA,,X,,
PRES,1901839,USA,,X,,
PRES,1901840,USA,,X,,
PRES,1901847,GBR,,X,,
PRES,1901860,GBR,,X,,
PRES,1901863,GBR,,X,,
PRES,1901865,GBR,,X,,
PRES,1901867,GBR,,X,,
PRES,1901873,GBR,,X,,
PRES,1901875,GBR,,X,,
PRES,1901877,GBR,,X,,
PRES,1901879,GBR,,X,,
PRES,1901880,GBR,,X,,
PRES,1901894,GBR,,X,,
PRES,1901896,GBR,,X,,
PRES,1901909,GBR,,X,,
PRES,1901914,GBR,,X,,
PRES,1901925,GBR,,X,X,
PRES,1902024,USA,,X,,
PRES,1902026,USA,,X,,
PRES,1902028,USA,,X,,
PRES,1902030,USA,,X,,
PRES,1902033,USA,,X,,
PRES,1902034,USA,,X,,
PRES,1902036,USA,,X,,
PRES,1902038,USA,,X,,
PRES,1902039,USA,,X,,
PRES,1902043,USA,,X,,
PRES,1902047,USA,,X,,
PRES,1902065,USA,,X,,
PRES,1902194,USA,,X,,
PRES,1902222,USA,,X,,
PRES,1902224,USA,,X,,
PRES,2901095,GBR,,X,,
PRES,2901096,GBR,,X,,
PRES,2901102,GBR,,X,,
PRES,2901186,CHN,,X,,
PRES,2901188,CHN,,X,,
PRES,2901513,CHN,,X,,
PRES,2901519,CHN,,X,,
PRES,2901520,CHN,,X,,
PRES,2901571,CHN,,X,,
PRES,2901575,CHN,,X,,
PRES,2901751,PRK,,X,,
PRES,2901752,PRK,,X,,
PRES,2901753,PRK,,X,,
PRES,2901754,PRK,,X,,
PRES,2901758,PRK,,X,,
PRES,2901759,PRK,,X,,
PRES,2901760,PRK,,X,,
PRES,2901761,PRK,,X,,
PRES,2901762,PRK,,X,,
PRES,2901763,PRK,,X,,
PRES,2901764,PRK,,X,,
PRES,2901765,PRK,,X,,
PRES,2901790,PRK,,X,,
PRES,2901897,GBR,,X,,
PRES,2902134,IND,,X,X,
PRES,2902135,IND,,X,X,
PRES,2902137,IND,,X,X,
PRES,2902141,IND,,X,X,
PRES,2902147,IND,,X,X,
PRES,2902148,IND,,X,X,
PRES,2902149,IND,,X,X,
PRES,2902151,IND,,X,X,
PRES,2902152,IND,,X,X,
PRES,2902153,IND,,X,,
PRES,2902162,IND,,X,X,
PRES,2902163,IND,,X,X,
PRES,2902165,IND,,X,X,
PRES,2902166,IND,,X,X,
PRES,2902168,IND,,X,X,
PRES,2902169,IND,,X,X,
PRES,2902170,IND,,X,X,
PRES,2902171,IND,,X,X,
PRES,2902172,IND,,X,X,
