# Warnings for PSAL
# Project : ASD_Fleet
# Update date : 20230921022801

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
PSAL,1900733,USA,X,X,,
PSAL,1901250,GBR,X,,,
PSAL,1901277,GBR,X,,,X
PSAL,1901294,GBR,X,,,X
PSAL,1901305,GBR,X,,,
PSAL,1901355,DEU,X,,,
PSAL,1901735,AUS,X,,,X
PSAL,1901744,AUS,X,,,X
PSAL,1901764,AUS,X,,,X
PSAL,1901805,USA,X,,,X
PSAL,1901832,USA,X,,,X
PSAL,1901839,USA,X,X,,X
PSAL,1901840,USA,X,,,
PSAL,1901847,GBR,X,,,X
PSAL,1901860,GBR,,,,X
PSAL,1901863,GBR,X,,,X
PSAL,1901865,GBR,X,,,
PSAL,1901867,GBR,X,,,X
PSAL,1901873,GBR,X,,,
PSAL,1901875,GBR,X,,,X
PSAL,1901877,GBR,X,,,X
PSAL,1901879,GBR,X,,,X
PSAL,1901880,GBR,X,,,X
PSAL,1901894,GBR,X,,,X
PSAL,1901896,GBR,X,,,X
PSAL,1901909,GBR,X,,,X
PSAL,1901914,GBR,X,,,X
PSAL,1901925,GBR,X,,X,X
PSAL,1902024,USA,X,X,,
PSAL,1902026,USA,X,X,,X
PSAL,1902033,USA,X,,,X
PSAL,1902034,USA,X,,,X
PSAL,1902036,USA,X,,,X
PSAL,1902038,USA,X,,,X
PSAL,1902039,USA,X,X,,
PSAL,1902043,USA,X,,,X
PSAL,1902065,USA,X,,,X
PSAL,1902194,USA,X,,,X
PSAL,1902222,USA,X,,,X
PSAL,1902224,USA,X,,,X
PSAL,2901096,GBR,X,,,
PSAL,2901758,PRK,X,,,X
PSAL,2901759,PRK,X,,,X
PSAL,2901760,PRK,,,,X
PSAL,2901790,PRK,X,,,
PSAL,2901897,GBR,X,,,
PSAL,2902134,IND,,,X,
PSAL,2902135,IND,,,X,
PSAL,2902137,IND,,,X,
PSAL,2902141,IND,X,,X,X
PSAL,2902147,IND,X,,X,X
PSAL,2902148,IND,X,,X,X
PSAL,2902149,IND,X,,X,X
PSAL,2902151,IND,X,,X,X
PSAL,2902152,IND,X,,X,X
PSAL,2902162,IND,X,,X,X
PSAL,2902163,IND,X,,X,X
PSAL,2902165,IND,X,,X,X
PSAL,2902166,IND,X,,X,X
PSAL,2902168,IND,X,,X,X
PSAL,2902169,IND,X,,X,X
PSAL,2902170,IND,X,,X,X
PSAL,2902171,IND,X,,X,
PSAL,2902172,IND,X,,X,
PSAL,2902173,IND,,,X,
PSAL,2902179,IND,,,X,
PSAL,2902184,IND,X,,X,
PSAL,2902185,IND,X,,X,
PSAL,2902188,IND,X,,X,X
PSAL,2902219,IND,X,,X,X
PSAL,2902220,IND,X,,X,X
PSAL,2902221,IND,,,X,
PSAL,2902222,IND,X,,X,
PSAL,2902223,IND,,,X,
PSAL,2902224,IND,,,X,
PSAL,2902225,IND,,,X,
PSAL,2902226,IND,,,X,
PSAL,2902227,IND,,,X,
PSAL,2902228,IND,,,X,
PSAL,2902265,IND,X,,,
PSAL,2902267,IND,X,,,
PSAL,2902268,IND,X,,,
PSAL,2902274,IND,X,,,
PSAL,2902278,IND,X,,,
PSAL,2902279,IND,X,,,
PSAL,2902280,IND,X,,,
PSAL,2902282,IND,X,,,
PSAL,2902285,IND,X,,,
PSAL,2902286,IND,X,,,
PSAL,2902425,JPN,X,,,
PSAL,2902426,JPN,X,,,
PSAL,2902428,JPN,X,,,
PSAL,2902557,CHN,X,,,
PSAL,2902558,CHN,X,,,
PSAL,2902564,CHN,X,,,
PSAL,2902601,CHN,X,,,
PSAL,2902715,CHN,X,,,
PSAL,2902945,JPN,X,,,
PSAL,2902951,JPN,X,,,
PSAL,2902966,JPN,X,,,
PSAL,2902975,JPN,X,,,
PSAL,2902982,JPN,X,,,
PSAL,2902985,JPN,X,,,
PSAL,2902995,JPN,X,,,
PSAL,2903177,JPN,X,,,
PSAL,2903178,JPN,X,,,
PSAL,2903179,JPN,X,,,
PSAL,2903180,JPN,X,,,
PSAL,2903181,JPN,X,,,
PSAL,2903182,JPN,X,,,
PSAL,2903183,JPN,X,,,
PSAL,2903184,JPN,X,,,
PSAL,2903185,JPN,X,,,
PSAL,2903186,JPN,X,,,
PSAL,2903187,JPN,X,,,
PSAL,2903188,JPN,X,,,
PSAL,2903190,JPN,X,,,
PSAL,2903191,JPN,X,,,
PSAL,2903197,JPN,X,,,
PSAL,2903203,JPN,X,,,
PSAL,2903207,JPN,X,,,
PSAL,2903214,JPN,X,,,
PSAL,2903222,JPN,X,,,
PSAL,2903333,JPN,X,,,
PSAL,2903341,JPN,X,,,
PSAL,2903358,JPN,X,,X,X
PSAL,2903361,JPN,X,,,
PSAL,2903385,JPN,X,,X,X
PSAL,2903387,JPN,X,,X,X
PSAL,2903389,JPN,X,,X,X
PSAL,2903392,JPN,X,,X,X
PSAL,2903393,JPN,X,,X,X
PSAL,2903394,JPN,X,,X,X
PSAL,2903395,JPN,X,,X,X
PSAL,2903401,JPN,X,X,X,X
PSAL,2903403,JPN,X,,,X
PSAL,2903404,JPN,X,,X,X
PSAL,2903418,USA,X,,,
PSAL,2903423,USA,X,,,X
PSAL,2903426,USA,X,,,X
PSAL,2903605,JPN,X,,X,X
PSAL,2903606,JPN,X,,X,X
PSAL,2903607,JPN,X,,,
PSAL,2903608,JPN,X,,X,X
PSAL,2903612,JPN,X,,X,X
PSAL,2903616,JPN,X,,X,X
PSAL,2903617,JPN,X,,X,X
PSAL,2903644,JPN,X,,,
PSAL,2903669,JPN,X,,X,X
PSAL,3901108,USA,X,,,X
PSAL,3901111,USA,X,,,X
PSAL,3901155,USA,X,,,X
PSAL,3901184,USA,X,,,X
PSAL,3901214,USA,X,,,X
PSAL,3901215,USA,X,,,X
PSAL,3901216,USA,X,,,
PSAL,3901217,USA,X,,,
PSAL,3901218,USA,X,,,X
PSAL,3901219,USA,X,,,X
PSAL,3901220,USA,X,,,X
PSAL,3901226,USA,X,,,X
PSAL,3901243,USA,X,,,
PSAL,3901246,USA,X,X,,X
PSAL,3901247,USA,X,,,X
PSAL,3901249,USA,X,,,X
PSAL,3901250,USA,X,,,X
PSAL,3901251,USA,X,,,X
PSAL,3901252,USA,X,,,X
PSAL,3901253,USA,X,X,,X
PSAL,3901260,USA,X,X,,
PSAL,3901262,USA,X,,,
PSAL,3901263,USA,X,,,
PSAL,3901264,USA,X,,,
PSAL,3901268,USA,X,X,,X
PSAL,3901270,USA,X,X,,X
PSAL,3901271,USA,X,X,,X
PSAL,3901272,USA,X,,,X
PSAL,3901273,USA,X,,,X
PSAL,3901274,USA,X,,,X
PSAL,3901285,USA,X,,,X
PSAL,3901301,USA,X,,,X
PSAL,3901306,USA,X,,,X
PSAL,3901499,GBR,X,,,X
PSAL,3901501,GBR,X,,,
PSAL,3901511,GBR,X,,,
PSAL,3901516,GBR,X,,,X
PSAL,3901521,GBR,X,,,X
PSAL,3901534,GBR,X,,,
PSAL,3901548,GBR,X,,,X
PSAL,3901590,DEU,X,,,
PSAL,3901601,DEU,X,,,X
PSAL,3901602,DEU,X,,,X
PSAL,3901605,DEU,X,,,X
PSAL,3901606,DEU,X,X,,
PSAL,3901608,DEU,X,X,,
PSAL,3901609,DEU,X,,,
PSAL,3901610,DEU,X,,,
PSAL,3901611,DEU,X,,,
PSAL,3901625,DEU,X,,,
PSAL,3901628,DEU,X,X,,
PSAL,3901631,DEU,,X,,
PSAL,3901633,DEU,X,,,
PSAL,3901636,DEU,X,,,
PSAL,3901643,DEU,X,,,
PSAL,3901649,DEU,X,,,
PSAL,3901652,DEU,X,X,,
PSAL,3901654,DEU,X,,,
PSAL,3901656,DEU,X,,,
PSAL,3901657,DEU,X,,,
PSAL,3901658,DEU,X,,,
PSAL,3901670,DEU,X,,,
PSAL,3901671,DEU,X,,,
PSAL,3901672,DEU,X,,,X
PSAL,3901674,DEU,X,,,
PSAL,3901675,DEU,X,,,
PSAL,3901680,DEU,X,,,X
PSAL,3901788,USA,X,,,
PSAL,3901791,USA,X,,,X
PSAL,3901792,USA,X,X,,
PSAL,3901801,USA,X,,,X
PSAL,3901802,USA,X,,,X
PSAL,3901803,USA,X,X,,
PSAL,3901809,USA,X,,,X
PSAL,3901814,USA,X,,,X
PSAL,3901816,USA,X,,,
PSAL,3901817,USA,X,,X,X
PSAL,3901819,USA,X,,,X
PSAL,3901822,USA,X,,,X
PSAL,3901838,DEU,X,,,X
PSAL,3901841,DEU,X,,,X
PSAL,3901845,DEU,X,,,X
PSAL,3901846,DEU,X,,,X
PSAL,3901847,DEU,X,,,X
PSAL,3901849,ITA,,X,,
PSAL,3901853,EUR,X,,,X
PSAL,3901857,EUR,X,,,X
PSAL,3901859,EUR,X,,,X
