# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter CDOM
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
CDOM,1902578,coriolis,FRA,REFINE,2022/05/29,2023/03/31 14:17:23,0,410,1,0,36,9,0,9,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,36,0
CDOM,1902593,coriolis,FRA,REFINE,2023/02/11,2023/07/11 07:15:53,0,152,0,0,19,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,19,0
CDOM,1902602,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/09 11:39:00,0,55,0,0,9,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,9,0
CDOM,1902605,coriolis,ITA,Argo ITALY,2023/04/28,2023/07/10 11:29:00,0,76,0,0,110,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,110,0
CDOM,2903783,coriolis,FRA,REFINE,2022/12/09,2023/07/07 02:57:08,0,216,0,0,22,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,22,0
CDOM,2903794,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/10 23:36:35,0,55,0,0,12,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,12,0
CDOM,3901578,bodc,GBR,Argo UK Bio,2023/03/16,2023/07/08 02:48:00,0,119,0,0,26,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,26,0
CDOM,3901579,bodc,GBR,Argo UK Bio,2023/03/26,2023/04/04 11:18:00,0,109,0,0,5,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,5,0
CDOM,3902120,coriolis,EUR,AtlantOS_H2020,2018/03/14,2018/12/16 12:28:00,0,1947,1,0,61,61,0,61,,,0.00,0,0,0,0,0,0,0,0,0,0,1,0,60,0
CDOM,3902121,coriolis,EUR,AtlantOS_H2020,2018/03/16,2021/10/02 17:58:00,0,1945,1,1,330,330,0,330,,,0.00,0,0,0,0,0,0,0,0,0,0,216,0,114,0
CDOM,3902122,coriolis,EUR,AtlantOS_H2020,2017/10/08,2022/01/21 13:56:00,0,2104,1,1,337,337,0,337,,,0.00,0,0,0,0,0,0,0,0,0,0,136,0,201,0
CDOM,3902123,coriolis,EUR,AtlantOS_H2020,2017/10/09,2021/04/01 09:04:00,0,2103,1,0,277,277,0,277,,,0.00,0,0,0,0,0,0,0,0,0,0,86,0,191,0
CDOM,3902124,coriolis,EUR,AtlantOS_H2020,2017/10/18,2020/09/13 13:15:00,0,2094,1,0,228,228,0,228,,,0.00,0,0,0,0,0,0,0,0,0,0,2,0,226,0
CDOM,3902125,coriolis,EUR,AtlantOS_H2020,2017/10/19,2023/07/10 09:25:00,0,2093,1,0,226,189,0,189,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,226,0
CDOM,3902471,coriolis,FRA,REFINE,2022/11/02,2023/07/11 06:13:56,0,253,0,0,33,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,33,0
CDOM,3902472,coriolis,FRA,Argo FPAII-GMMC,2022/10/16,2023/07/06 06:49:09,0,270,0,0,25,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,25,0
CDOM,3902488,coriolis,DEU,Argo GERMANY,2023/02/13,2023/04/10 22:43:02,0,150,0,0,17,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,17,0
CDOM,3902498,coriolis,FRA,REFINE,2023/03/07,2023/07/11 12:16:43,0,128,0,0,19,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,19,0
CDOM,4901802,coriolis,EXT,NAOS-Canada,2016/07/09,2016/08/16 15:26:58,0,2560,1,0,39,39,0,39,,,0.00,0,0,0,0,0,0,0,0,0,0,1,0,38,0
CDOM,4901803,coriolis,EXT,NAOS-Canada,2016/07/09,2016/10/31 15:22:56,0,2560,1,0,98,98,0,98,,,0.00,0,0,0,0,0,0,0,0,0,0,3,0,95,0
CDOM,4901804,coriolis,EXT,NAOS-Canada,2017/07/20,2017/07/29 16:12:11,0,2184,1,0,10,10,0,10,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,10,0
CDOM,4901805,coriolis,EXT,NAOS-Canada,2017/07/20,2018/08/09 15:36:57,0,2184,1,0,113,113,0,113,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,113,0
CDOM,4901806,coriolis,EXT,NAOS-Canada,2019/07/17,2019/09/02 15:32:59,0,1457,1,0,8,7,0,7,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,8,0
CDOM,4902437,coriolis,EXT,NAOS-Canada,2022/10/12,2023/07/11 16:05:31,0,274,0,0,41,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,41,0
CDOM,4902602,coriolis,EXT,NAOS-Canada,2021/10/25,2022/10/24 16:43:34,0,626,1,0,158,106,0,106,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,158,0
CDOM,4902630,coriolis,EXT,NAOS-Canada,2022/10/12,2022/10/25 17:15:09,0,274,0,0,15,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,15,0
CDOM,4903634,coriolis,FRA,REFINE,2022/05/21,2023/07/11 12:17:52,0,418,1,0,47,10,0,10,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,47,0
CDOM,4903643,coriolis,FRA,Coriolis,2022/12/29,2023/07/08 13:36:00,0,196,0,0,47,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,47,0
CDOM,4903657,coriolis,FRA,REFINE,2023/02/06,2023/07/07 01:25:06,0,157,0,0,20,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,20,0
CDOM,4903711,coriolis,EUR,EuroArgo,2023/05/11,2023/07/06 21:37:00,0,63,0,0,7,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,7,0
CDOM,5906868,coriolis,EXT,Argo SAUDI ARABIA,2022/03/29,2022/04/21 09:44:00,0,471,1,0,15,15,0,15,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,15,0
CDOM,5906970,coriolis,FRA,REFINE,2022/10/16,2023/07/12 05:50:21,0,270,0,0,30,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,30,0
CDOM,5906971,coriolis,FRA,NAOS-France,2022/11/27,2023/07/12 11:59:33,0,228,0,0,28,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,28,0
CDOM,5906972,coriolis,FRA,NAOS-France,2022/10/21,2023/07/08 21:46:41,0,265,0,0,33,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,33,0
CDOM,5906990,coriolis,FRA,Coriolis-BIOArgo,2023/05/07,2023/07/04 10:42:00,0,67,0,0,37,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,37,0
CDOM,6900807,coriolis,EUR,EuroArgo,2014/11/28,2018/09/08 22:46:00,0,3149,1,0,259,259,0,259,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,259,0
CDOM,6901004,coriolis,FRA,Coriolis-remOcean,2015/01/24,2018/01/06 23:59:00,0,3092,1,0,347,347,0,347,,,0.00,0,0,0,0,0,0,0,0,0,0,151,0,196,0
CDOM,6901032,coriolis,FRA,NAOS-France,2012/11/24,2013/01/24 11:33:00,0,3883,1,0,22,22,0,22,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,22,0
CDOM,6901437,coriolis,FRA,Coriolis-remOcean,2012/11/07,2016/02/25 13:41:00,0,3900,1,0,117,117,0,117,,,0.00,0,0,0,0,0,0,0,0,0,0,13,0,104,0
CDOM,6901439,coriolis,FRA,Coriolis-remOcean,2012/11/07,2014/02/06 13:41:00,0,3900,1,0,453,453,0,453,,,0.00,0,0,0,0,0,0,0,0,0,0,186,0,267,0
CDOM,6901440,coriolis,FRA,Coriolis-remOcean,2012/11/07,2012/12/10 06:49:00,0,3900,1,0,16,15,0,15,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,16,0
CDOM,6901472,coriolis,FRA,Coriolis-remOcean,2012/10/23,2018/10/19 15:19:00,0,3915,1,0,223,223,0,223,,,0.00,0,0,0,0,0,0,0,0,0,0,5,0,218,0
CDOM,6901473,coriolis,FRA,Coriolis-remOcean,2012/10/23,2016/07/11 10:00:00,0,3915,1,1,549,549,0,549,,,0.00,0,0,0,0,0,0,0,0,0,0,135,0,414,0
CDOM,6901474,coriolis,FRA,Coriolis-remOcean,2012/10/23,2015/06/26 08:52:00,0,3915,1,0,393,393,0,393,,,0.00,0,0,0,0,0,0,0,0,0,0,126,0,267,0
CDOM,6901475,coriolis,FRA,Coriolis-remOcean,2012/10/23,2013/01/25 14:59:52,0,3915,1,1,90,90,0,90,,,0.00,0,0,0,0,0,0,0,0,0,0,16,0,74,0
CDOM,6901480,coriolis,FRA,Coriolis-remOcean,2013/06/16,2017/05/16 14:47:00,0,3679,1,0,380,380,0,380,,,0.00,0,0,0,0,0,0,0,0,0,0,43,0,337,0
CDOM,6901481,coriolis,FRA,Coriolis-remOcean,2013/06/16,2014/03/06 15:35:00,0,3679,1,0,48,48,0,48,,,0.00,0,0,0,0,0,0,0,0,0,0,3,0,45,0
CDOM,6901482,coriolis,FRA,Coriolis-remOcean,2013/06/16,2015/01/30 14:41:00,0,3679,1,0,102,102,0,102,,,0.00,0,0,0,0,0,0,0,0,0,0,7,0,95,0
CDOM,6901483,coriolis,FRA,NAOS-France,2013/07/22,2014/03/27 10:39:00,0,3643,1,0,59,59,0,59,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,59,0
CDOM,6901484,coriolis,FRA,Coriolis-remOcean,2013/06/16,2014/03/06 15:36:00,0,3679,1,0,48,48,0,48,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,48,0
CDOM,6901485,coriolis,FRA,Coriolis-remOcean,2013/06/16,2016/03/04 15:24:00,0,3679,1,0,177,177,0,177,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,177,0
CDOM,6901486,coriolis,FRA,Coriolis-remOcean,2013/06/16,2017/07/20 14:53:00,0,3679,1,0,351,351,0,351,,,0.00,0,0,0,0,0,0,0,0,0,0,2,0,349,0
CDOM,6901489,coriolis,FRA,Coriolis-remOcean,2013/06/16,2015/02/26 15:25:00,0,3679,1,1,106,106,0,106,,,0.00,0,0,0,0,0,0,0,0,0,0,15,0,91,0
CDOM,6901490,coriolis,FRA,NAOS-France,2013/06/15,2013/07/07 10:47:00,0,3680,1,0,9,9,0,9,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,9,0
CDOM,6901491,coriolis,FRA,NAOS-France,2013/06/15,2015/05/30 10:53:00,0,3680,1,0,179,179,0,179,,,0.00,0,0,0,0,0,0,0,0,0,0,19,0,160,0
CDOM,6901492,coriolis,FRA,Coriolis-BIOArgo,2013/12/01,2018/11/01 09:03:00,0,3511,1,0,401,401,0,401,,,0.00,0,0,0,0,0,0,0,0,0,0,1,0,400,0
CDOM,6901493,coriolis,FRA,Coriolis-BIOArgo,2013/12/03,2016/12/19 06:55:00,0,3509,1,0,238,238,0,238,,,0.00,0,0,0,0,0,0,0,0,0,0,3,0,235,0
CDOM,6901494,coriolis,FRA,Coriolis-BIOArgo,2013/10/09,2015/03/18 17:11:00,0,3564,1,0,354,354,0,354,,,0.00,0,0,0,0,0,0,0,0,0,0,353,0,1,0
CDOM,6901495,coriolis,FRA,Coriolis-BIOArgo,2013/10/08,2014/05/27 14:56:00,0,3565,1,1,279,279,0,279,,,0.00,0,0,0,0,0,0,0,0,0,0,279,0,0,0
