# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter CHLA
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
CHLA,1902578,coriolis,FRA,REFINE,2022/05/29,2023/03/31 14:17:23,0,410,1,0,36,9,0,9,,,0.00,0,0,36,0,0,0,0,0,0,0,0,0,0,0
CHLA,1902593,coriolis,FRA,REFINE,2023/02/11,2023/07/11 07:15:53,0,152,0,0,19,0,0,0,,,0.00,0,0,19,0,0,0,0,0,0,0,0,0,0,0
CHLA,1902601,coriolis,FRA,REFINE,2023/03/07,2023/07/09 13:10:08,0,128,0,0,22,0,0,0,,,0.00,0,0,22,0,0,0,0,0,0,0,0,0,0,0
CHLA,1902602,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/09 11:39:00,0,55,0,0,9,0,0,0,,,0.00,0,0,7,0,2,0,0,0,0,0,0,0,0,0
CHLA,1902605,coriolis,ITA,Argo ITALY,2023/04/28,2023/07/10 11:29:00,0,76,0,0,110,0,0,0,,,0.00,2,0,108,0,0,0,0,0,0,0,0,0,0,0
CHLA,2903783,coriolis,FRA,REFINE,2022/12/09,2023/07/07 02:57:08,0,216,0,0,22,0,0,0,,,0.00,0,0,22,0,0,0,0,0,0,0,0,0,0,0
CHLA,2903787,coriolis,FRA,REFINE,2023/02/06,2023/07/06 07:06:24,0,157,0,0,20,0,0,0,,,0.00,0,0,20,0,0,0,0,0,0,0,0,0,0,0
CHLA,2903794,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/10 23:36:35,0,55,0,0,12,0,0,0,,,0.00,1,0,11,0,0,0,0,0,0,0,0,0,0,0
CHLA,3900515,coriolis,EXT,Argo eq. ESP-OMZ,2005/10/22,2009/08/07 08:57:37,1,6473,1,0,267,267,267,0,2009/08/07 08:57:37,2022/06/29,100.00,0,0,0,0,0,0,0,0,0,0,267,267,0,0
CHLA,3900516,coriolis,EXT,Argo eq. ESP-OMZ,2005/10/25,2008/06/07 08:00:17,1,6470,1,0,187,187,187,0,2008/06/07 08:00:17,2022/07/01,100.00,0,0,0,0,0,0,0,0,0,0,187,187,0,0
CHLA,3900521,coriolis,EXT,Argo eq. ESP-OMZ,2006/06/01,2011/05/31 09:18:57,1,6251,1,0,330,330,330,0,2011/05/31 09:18:57,2022/06/30,100.00,0,0,0,0,0,0,0,0,0,0,330,330,0,0
CHLA,3900522,coriolis,EXT,Argo eq. ESP-OMZ,2006/05/31,2006/09/13 09:28:18,0,6252,1,0,18,18,0,18,,,0.00,0,0,0,0,0,0,18,0,0,0,0,0,0,0
CHLA,3900523,coriolis,EXT,Argo eq. ESP-OMZ,2006/05/30,2011/03/10 09:27:52,1,6253,1,0,330,330,330,0,2011/03/10 09:27:52,2022/06/28,100.00,0,0,0,0,0,0,0,0,0,0,330,330,0,0
CHLA,3900524,coriolis,EXT,Argo eq. ESP-OMZ,2006/06/03,2009/12/29 09:14:10,1,6249,1,0,73,73,73,0,2009/12/29 09:14:10,2022/07/03,100.00,0,0,0,0,0,0,0,0,0,0,73,73,0,0
CHLA,3901065,coriolis,EXT,Argo eq. ESP-OMZ,2008/03/26,2009/02/11 04:27:04,0,5587,1,0,95,95,0,95,,,0.00,32,0,60,0,0,0,0,0,0,0,3,0,0,0
CHLA,3901066,coriolis,EXT,Argo eq. ESP-OMZ,2008/03/26,2010/08/02 06:44:21,1,5587,1,0,248,248,248,0,2010/08/02 06:44:21,2022/07/02,100.00,0,0,0,0,0,0,0,0,0,0,248,248,0,0
CHLA,3901067,coriolis,EXT,Argo eq. ESP-OMZ,2008/03/26,2010/11/15 08:29:52,0,5587,1,0,321,321,0,321,,,0.00,11,0,22,0,0,0,6,0,79,0,203,0,0,0
CHLA,3901068,coriolis,EXT,Argo eq. ESP-OMZ,2008/03/26,2010/07/15 04:38:31,1,5587,1,0,240,240,240,0,2010/07/15 04:38:31,2022/07/01,100.00,0,0,0,0,0,0,0,0,0,0,237,237,3,3
CHLA,3901496,bodc,GBR,Argo UK Bio,2014/10/20,2021/07/22 14:39:00,0,3188,1,0,378,378,0,378,,,0.00,5,0,357,0,0,0,0,0,13,0,3,0,0,0
CHLA,3901497,bodc,GBR,Argo UK Bio,2014/10/24,2019/05/24 13:43:00,0,3184,1,1,359,359,0,359,,,0.00,2,0,354,0,0,0,0,0,1,0,2,0,0,0
CHLA,3901498,bodc,GBR,Argo UK Bio,2014/10/25,2019/06/11 12:55:00,0,3183,1,1,385,385,0,385,,,0.00,17,0,367,0,0,0,0,0,0,0,1,0,0,0
CHLA,3901530,bodc,GBR,Argo UK Bio,2016/11/28,2017/12/16 19:24:00,0,2418,1,0,83,83,0,83,,,0.00,0,0,0,0,0,0,0,0,82,0,1,0,0,0
CHLA,3901531,bodc,GBR,Argo UK Bio,2016/11/29,2021/07/08 19:02:00,0,2417,1,0,342,342,0,342,,,0.00,0,0,284,0,0,0,0,0,52,0,5,0,1,0
CHLA,3901578,bodc,GBR,Argo UK Bio,2023/03/16,2023/07/08 02:48:00,0,119,0,0,26,0,0,0,,,0.00,0,0,26,0,0,0,0,0,0,0,0,0,0,0
CHLA,3901579,bodc,GBR,Argo UK Bio,2023/03/26,2023/04/04 11:18:00,0,109,0,0,5,0,0,0,,,0.00,0,0,5,0,0,0,0,0,0,0,0,0,0,0
CHLA,3902120,coriolis,EUR,AtlantOS_H2020,2018/03/14,2018/12/16 12:28:00,0,1947,1,0,61,61,0,61,,,0.00,0,0,60,0,0,0,0,0,0,0,1,0,0,0
CHLA,3902121,coriolis,EUR,AtlantOS_H2020,2018/03/16,2021/10/02 17:58:00,0,1945,1,0,330,330,0,330,,,0.00,10,0,272,0,0,0,5,0,43,0,0,0,0,0
CHLA,3902122,coriolis,EUR,AtlantOS_H2020,2017/10/08,2022/01/21 13:56:00,0,2104,1,1,337,337,0,337,,,0.00,3,0,210,0,0,0,0,0,0,0,124,0,0,0
CHLA,3902123,coriolis,EUR,AtlantOS_H2020,2017/10/09,2021/04/01 09:04:00,0,2103,1,0,277,277,0,277,,,0.00,0,0,190,0,0,0,0,0,0,0,87,0,0,0
CHLA,3902124,coriolis,EUR,AtlantOS_H2020,2017/10/18,2020/09/13 13:15:00,0,2094,1,0,228,228,0,228,,,0.00,0,0,226,0,0,0,0,0,0,0,2,0,0,0
CHLA,3902125,coriolis,EUR,AtlantOS_H2020,2017/10/19,2023/07/10 09:25:00,0,2093,1,0,226,189,0,189,,,0.00,1,0,47,0,0,0,18,0,160,0,0,0,0,0
CHLA,3902471,coriolis,FRA,REFINE,2022/11/02,2023/07/11 06:13:56,0,253,0,0,33,0,0,0,,,0.00,1,0,32,0,0,0,0,0,0,0,0,0,0,0
CHLA,3902472,coriolis,FRA,Argo FPAII-GMMC,2022/10/16,2023/07/06 06:49:09,0,270,0,0,25,0,0,0,,,0.00,0,0,9,0,0,0,0,0,16,0,0,0,0,0
CHLA,3902488,coriolis,DEU,Argo GERMANY,2023/02/13,2023/04/10 22:43:02,0,150,0,0,17,0,0,0,,,0.00,1,0,16,0,0,0,0,0,0,0,0,0,0,0
CHLA,3902498,coriolis,FRA,REFINE,2023/03/07,2023/07/11 12:16:43,0,128,0,0,19,0,0,0,,,0.00,0,0,18,0,0,0,0,0,0,0,0,0,1,0
CHLA,4901802,coriolis,EXT,NAOS-Canada,2016/07/09,2016/08/16 15:26:58,1,2560,1,0,39,39,39,0,2016/08/16 15:26:58,2022/08/05,100.00,13,13,25,25,0,0,0,0,0,0,1,1,0,0
CHLA,4901803,coriolis,EXT,NAOS-Canada,2016/07/09,2016/10/31 15:22:56,1,2560,1,0,98,98,98,0,2016/10/31 15:22:56,2022/08/05,100.00,44,44,51,51,0,0,0,0,0,0,3,3,0,0
CHLA,4901804,coriolis,EXT,NAOS-Canada,2017/07/20,2017/07/29 16:12:11,0,2184,1,0,10,10,0,10,,,0.00,1,0,2,0,0,0,0,0,7,0,0,0,0,0
CHLA,4901805,coriolis,EXT,NAOS-Canada,2017/07/20,2018/08/09 15:36:57,1,2184,1,0,113,113,113,0,2018/08/09 15:36:57,2022/09/05,100.00,113,113,0,0,0,0,0,0,0,0,0,0,0,0
CHLA,4901806,coriolis,EXT,NAOS-Canada,2019/07/17,2019/09/02 15:32:59,0,1457,1,0,8,7,0,7,,,0.00,1,0,5,0,1,0,0,0,0,0,0,0,1,0
CHLA,4902437,coriolis,EXT,NAOS-Canada,2022/10/12,2023/07/11 16:05:31,0,274,0,0,41,0,0,0,,,0.00,0,0,41,0,0,0,0,0,0,0,0,0,0,0
CHLA,4902602,coriolis,EXT,NAOS-Canada,2021/10/25,2022/10/24 16:43:34,0,626,1,0,158,106,0,106,,,0.00,0,0,158,0,0,0,0,0,0,0,0,0,0,0
CHLA,4902630,coriolis,EXT,NAOS-Canada,2022/10/12,2022/10/25 17:15:09,0,274,0,0,15,0,0,0,,,0.00,0,0,15,0,0,0,0,0,0,0,0,0,0,0
CHLA,4903634,coriolis,FRA,REFINE,2022/05/21,2023/07/11 12:17:52,0,418,1,0,47,10,0,10,,,0.00,0,0,47,0,0,0,0,0,0,0,0,0,0,0
CHLA,4903643,coriolis,FRA,Coriolis,2022/12/29,2023/07/08 13:36:00,0,196,0,0,47,0,0,0,,,0.00,1,0,46,0,0,0,0,0,0,0,0,0,0,0
CHLA,4903657,coriolis,FRA,REFINE,2023/02/06,2023/07/07 01:25:06,0,157,0,0,20,0,0,0,,,0.00,0,0,20,0,0,0,0,0,0,0,0,0,0,0
CHLA,4903658,coriolis,FRA,REFINE,2023/02/11,2023/07/10 06:56:28,0,152,0,0,19,0,0,0,,,0.00,0,0,19,0,0,0,0,0,0,0,0,0,0,0
CHLA,4903711,coriolis,EUR,EuroArgo,2023/05/11,2023/07/06 21:37:00,0,63,0,0,7,0,0,0,,,0.00,0,0,0,0,0,0,0,0,7,0,0,0,0,0
CHLA,4903714,coriolis,FIN,Argo FINLAND,2023/04/22,2023/07/04 06:29:57,0,82,1,0,23,5,0,5,,,0.00,8,0,15,0,0,0,0,0,0,0,0,0,0,0
CHLA,4903740,coriolis,FRA,Coriolis-BIOArgo,2023/05/10,2023/07/11 12:16:01,0,64,0,0,19,0,0,0,,,0.00,0,0,19,0,0,0,0,0,0,0,0,0,0,0
CHLA,5906868,coriolis,EXT,Argo SAUDI ARABIA,2022/03/29,2022/04/21 09:44:00,0,471,1,0,15,15,0,15,,,0.00,0,0,15,0,0,0,0,0,0,0,0,0,0,0
CHLA,5906970,coriolis,FRA,REFINE,2022/10/16,2023/07/12 05:50:21,0,270,0,0,30,0,0,0,,,0.00,0,0,30,0,0,0,0,0,0,0,0,0,0,0
CHLA,5906971,coriolis,FRA,NAOS-France,2022/11/27,2023/07/12 11:59:33,0,228,0,0,28,0,0,0,,,0.00,0,0,3,0,0,0,7,0,18,0,0,0,0,0
CHLA,5906972,coriolis,FRA,NAOS-France,2022/10/21,2023/07/08 21:46:41,0,265,0,0,33,0,0,0,,,0.00,0,0,33,0,0,0,0,0,0,0,0,0,0,0
CHLA,5906990,coriolis,FRA,Coriolis-BIOArgo,2023/05/07,2023/07/04 10:42:00,0,67,0,0,37,0,0,0,,,0.00,0,0,37,0,0,0,0,0,0,0,0,0,0,0
CHLA,6900796,coriolis,NOR,Argo NORWAY,2010/05/29,2013/01/19 00:16:28,0,4793,1,0,133,133,0,133,,,0.00,30,0,95,0,0,0,0,0,0,0,0,0,8,0
CHLA,6900797,coriolis,NOR,Argo NORWAY,2010/05/31,2011/04/08 18:31:51,0,4791,1,0,31,31,0,31,,,0.00,14,0,17,0,0,0,0,0,0,0,0,0,0,0
CHLA,6900798,coriolis,NOR,Argo NORWAY,2010/07/01,2015/09/13 23:45:31,0,4760,1,0,314,314,0,314,,,0.00,76,0,225,0,0,0,0,0,0,0,0,0,13,0
