# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter DOWN_IRRADIANCE490
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
DOWN_IRRADIANCE490,1902593,coriolis,FRA,REFINE,2023/02/11,2023/07/11 07:15:53,0,152,0,0,19,0,0,0,,,0.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,1902602,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/09 11:39:00,0,55,0,0,9,0,0,0,,,0.00,7,0,2,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,1902605,coriolis,ITA,Argo ITALY,2023/04/28,2023/07/10 11:29:00,0,76,0,0,110,0,0,0,,,0.00,110,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,2903783,coriolis,FRA,REFINE,2022/12/09,2023/07/07 02:57:08,0,216,0,0,22,0,0,0,,,0.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,2903794,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/10 23:36:35,0,55,0,0,12,0,0,0,,,0.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3901496,bodc,GBR,Argo UK Bio,2014/10/20,2021/07/22 14:39:00,1,3188,1,0,328,328,328,0,2021/07/22 14:39:00,2023/02/20,100.00,225,225,9,9,0,0,0,0,0,0,94,94,0,0
DOWN_IRRADIANCE490,3901497,bodc,GBR,Argo UK Bio,2014/10/24,2019/05/24 13:43:00,1,3184,1,0,359,359,359,0,2019/05/24 13:43:00,2023/02/14,100.00,32,32,323,323,0,0,0,0,0,0,4,4,0,0
DOWN_IRRADIANCE490,3901498,bodc,GBR,Argo UK Bio,2014/10/25,2019/06/11 12:55:00,1,3183,1,0,385,385,385,0,2019/06/11 12:55:00,2023/02/16,100.00,35,35,347,347,0,0,0,0,0,0,3,3,0,0
DOWN_IRRADIANCE490,3901530,bodc,GBR,Argo UK Bio,2016/11/28,2017/12/16 19:24:00,1,2418,1,0,83,83,83,0,2017/12/16 19:24:00,2023/02/17,100.00,82,82,0,0,0,0,0,0,0,0,1,1,0,0
DOWN_IRRADIANCE490,3901531,bodc,GBR,Argo UK Bio,2016/11/29,2021/07/08 19:02:00,1,2417,1,0,342,342,342,0,2021/07/08 19:02:00,2023/02/16,100.00,334,334,2,2,0,0,0,0,0,0,6,6,0,0
DOWN_IRRADIANCE490,3901578,bodc,GBR,Argo UK Bio,2023/03/16,2023/07/08 02:48:00,0,119,0,0,26,0,0,0,,,0.00,26,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3901579,bodc,GBR,Argo UK Bio,2023/03/26,2023/04/04 11:18:00,0,109,0,0,5,0,0,0,,,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902120,coriolis,EUR,AtlantOS_H2020,2018/03/14,2018/12/16 12:28:00,0,1947,1,0,61,61,0,61,,,0.00,60,0,0,0,0,0,0,0,0,0,1,0,0,0
DOWN_IRRADIANCE490,3902121,coriolis,EUR,AtlantOS_H2020,2018/03/16,2021/10/02 17:58:00,0,1945,1,0,330,330,0,330,,,0.00,330,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902122,coriolis,EUR,AtlantOS_H2020,2017/10/08,2022/01/21 13:56:00,0,2104,1,0,337,337,0,337,,,0.00,337,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902123,coriolis,EUR,AtlantOS_H2020,2017/10/09,2021/04/01 09:04:00,0,2103,1,0,277,277,0,277,,,0.00,277,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902124,coriolis,EUR,AtlantOS_H2020,2017/10/18,2022/10/05 12:48:00,0,2094,1,0,378,361,0,361,,,0.00,378,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902125,coriolis,EUR,AtlantOS_H2020,2017/10/19,2023/07/10 09:25:00,0,2093,1,0,226,189,0,189,,,0.00,226,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902471,coriolis,FRA,REFINE,2022/11/02,2023/07/11 06:13:56,0,253,0,0,32,0,0,0,,,0.00,32,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902472,coriolis,FRA,Argo FPAII-GMMC,2022/10/16,2023/07/06 06:49:09,0,270,0,0,25,0,0,0,,,0.00,25,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902488,coriolis,DEU,Argo GERMANY,2023/02/13,2023/04/10 22:43:02,0,150,0,0,17,0,0,0,,,0.00,17,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,3902498,coriolis,FRA,REFINE,2023/03/07,2023/07/11 12:16:43,0,128,0,0,20,0,0,0,,,0.00,19,0,0,0,0,0,0,0,0,0,0,0,1,0
DOWN_IRRADIANCE490,4901802,coriolis,EXT,NAOS-Canada,2016/07/09,2016/10/03 15:26:58,1,2560,1,0,88,88,88,0,2016/10/03 15:26:58,2022/08/05,100.00,86,86,2,2,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4901803,coriolis,EXT,NAOS-Canada,2016/07/09,2016/10/31 15:22:56,1,2560,1,0,98,98,98,0,2016/10/31 15:22:56,2022/08/05,100.00,93,93,2,2,0,0,0,0,0,0,3,3,0,0
DOWN_IRRADIANCE490,4901804,coriolis,EXT,NAOS-Canada,2017/07/20,2017/07/29 16:12:11,0,2184,1,0,10,10,0,10,,,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4901805,coriolis,EXT,NAOS-Canada,2017/07/20,2018/08/09 15:36:57,0,2184,1,0,113,113,0,113,,,0.00,112,0,1,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4901806,coriolis,EXT,NAOS-Canada,2019/07/17,2019/09/02 15:32:59,1,1457,1,0,9,8,9,0,2019/09/02 15:32:59,2022/08/05,100.00,4,4,3,3,1,1,0,0,0,0,0,0,1,1
DOWN_IRRADIANCE490,4902437,coriolis,EXT,NAOS-Canada,2022/10/12,2023/07/11 16:05:31,0,274,0,0,42,0,0,0,,,0.00,42,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4902602,coriolis,EXT,NAOS-Canada,2021/10/25,2022/10/24 16:43:34,0,626,1,0,158,106,0,106,,,0.00,158,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4902630,coriolis,EXT,NAOS-Canada,2022/10/12,2022/10/25 17:15:09,0,274,0,0,15,0,0,0,,,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4903634,coriolis,FRA,REFINE,2022/05/21,2023/07/11 12:17:52,0,418,1,0,47,10,0,10,,,0.00,47,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4903643,coriolis,FRA,Coriolis,2022/12/29,2023/07/08 13:36:00,0,196,0,0,47,0,0,0,,,0.00,47,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4903657,coriolis,FRA,REFINE,2023/02/06,2023/07/07 01:25:06,0,157,0,0,20,0,0,0,,,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,4903711,coriolis,EUR,EuroArgo,2023/05/11,2023/07/06 21:37:00,0,63,0,0,7,0,0,0,,,0.00,7,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,5906868,coriolis,EXT,Argo SAUDI ARABIA,2022/03/29,2022/04/21 09:44:00,0,471,1,0,15,15,0,15,,,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,5906970,coriolis,FRA,REFINE,2022/10/16,2023/07/12 05:50:21,0,270,0,0,30,0,0,0,,,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,5906971,coriolis,FRA,NAOS-France,2022/11/27,2023/07/12 11:59:33,0,228,0,0,28,0,0,0,,,0.00,28,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,5906972,coriolis,FRA,NAOS-France,2022/10/21,2023/07/08 21:46:41,0,265,0,0,33,0,0,0,,,0.00,33,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,5906990,coriolis,FRA,Coriolis-BIOArgo,2023/05/07,2023/07/04 10:42:00,0,67,0,0,37,0,0,0,,,0.00,37,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,6901004,coriolis,FRA,Coriolis-remOcean,2015/01/24,2018/01/06 23:59:00,1,3092,1,0,347,347,347,0,2018/01/06 23:59:00,2022/08/29,100.00,342,342,1,1,0,0,0,0,0,0,2,2,2,2
DOWN_IRRADIANCE490,6901032,coriolis,FRA,NAOS-France,2012/11/24,2013/01/24 11:33:00,0,3883,1,0,22,22,0,22,,,0.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,6901151,bodc,EUR,E-AIMS,2013/10/14,2015/08/10 13:40:00,0,3559,1,0,212,212,0,212,,,0.00,212,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,6901152,bodc,EUR,E-AIMS,2013/10/14,2017/10/09 13:51:00,0,3559,1,0,216,216,0,216,,,0.00,157,0,0,0,0,0,0,0,0,0,59,0,0,0
DOWN_IRRADIANCE490,6901174,bodc,GBR,Argo UK Bio,2014/10/09,2019/05/23 13:37:00,0,3199,1,0,328,328,0,328,,,0.00,319,0,0,0,0,0,0,0,0,0,0,0,9,0
DOWN_IRRADIANCE490,6901175,bodc,GBR,Argo UK Bio,2014/10/10,2018/05/16 13:40:00,0,3198,1,0,274,274,0,274,,,0.00,274,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,6901180,bodc,GBR,Argo UK Bio,2015/11/13,2020/05/22 13:55:00,1,2799,1,0,407,407,407,0,2020/05/22 13:55:00,2023/02/10,100.00,355,355,38,38,0,0,0,0,0,0,14,14,0,0
DOWN_IRRADIANCE490,6901181,bodc,GBR,Argo UK Bio,2015/11/12,2020/08/05 12:52:00,1,2800,1,0,454,454,454,0,2020/08/05 12:52:00,2023/02/16,100.00,36,36,413,413,1,1,0,0,0,0,4,4,0,0
DOWN_IRRADIANCE490,6901182,bodc,GBR,Argo UK Bio,2015/12/28,2022/10/04 16:03:00,1,2754,1,0,376,359,315,44,2021/12/08 15:43:00,2023/02/27,83.78,373,312,3,3,0,0,0,0,0,0,0,0,0,0
DOWN_IRRADIANCE490,6901183,bodc,GBR,Argo UK Bio,2015/12/26,2020/09/10 16:05:00,1,2756,1,0,360,360,360,0,2020/09/10 16:05:00,2023/02/14,100.00,352,352,5,5,0,0,0,0,0,0,3,3,0,0
DOWN_IRRADIANCE490,6901437,coriolis,FRA,Coriolis-remOcean,2012/11/07,2016/04/18 01:27:00,1,3900,1,0,126,126,126,0,2016/04/18 01:27:00,2022/07/06,100.00,122,122,1,1,0,0,0,0,0,0,3,3,0,0
DOWN_IRRADIANCE490,6901439,coriolis,FRA,Coriolis-remOcean,2012/11/07,2014/02/06 13:41:00,0,3900,1,0,453,453,0,453,,,0.00,451,0,0,0,0,0,0,0,0,0,1,0,1,0
