# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter DOXY
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
DOXY,1900650,coriolis,DEU,Argo IFM-GEOMAR,2006/06/11,2010/03/12 00:23:41,0,6241,1,1,130,130,0,130,,,0.00,0,0,0,0,0,0,0,0,0,0,130,0,0,0
DOXY,1900651,coriolis,DEU,Argo IFM-GEOMAR,2006/06/19,2009/11/19 20:29:42,0,6233,1,1,121,121,0,121,,,0.00,0,0,0,0,0,0,0,0,0,0,121,0,0,0
DOXY,1900652,coriolis,DEU,Argo IFM-GEOMAR,2006/07/03,2010/04/12 20:53:09,0,6219,1,1,128,128,0,128,,,0.00,0,0,0,0,0,0,0,0,0,0,128,0,0,0
DOXY,1900943,coriolis,DEU,Argo eq. IFM2,2007/02/13,2007/12/27 09:19:00,1,5994,1,0,64,64,64,0,2007/12/27 09:19:00,2022/06/28,100.00,2,2,59,59,0,0,0,0,0,0,0,0,3,3
DOXY,1901205,coriolis,FRA,Coriolis-OVIDE,2011/07/21,2016/11/12 23:35:00,1,4375,1,0,195,195,195,0,2016/11/12 23:35:00,2022/06/28,100.00,0,0,192,192,0,0,0,0,0,0,0,0,3,3
DOXY,1901206,coriolis,FRA,Coriolis-OVIDE,2011/07/23,2016/12/24 22:51:00,1,4373,1,0,199,199,199,0,2016/12/24 22:51:00,2022/06/29,100.00,0,0,198,198,0,0,0,0,0,0,0,0,1,1
DOXY,1901207,coriolis,FRA,Coriolis-Good Hope,2010/10/10,2016/02/23 20:33:00,0,4659,1,0,197,197,0,197,,,0.00,196,0,0,0,0,0,0,0,0,0,0,0,1,0
DOXY,1901208,coriolis,FRA,Coriolis-OVIDE,2011/07/24,2017/04/05 23:37:00,1,4372,1,0,209,209,209,0,2017/04/05 23:37:00,2022/07/02,100.00,0,0,209,209,0,0,0,0,0,0,0,0,0,0
DOXY,1901209,coriolis,FRA,Coriolis-OVIDE,2011/08/12,2012/03/30 20:35:00,1,4353,1,0,24,24,24,0,2012/03/30 20:35:00,2022/06/27,100.00,0,0,24,24,0,0,0,0,0,0,0,0,0,0
DOXY,1901210,coriolis,FRA,Coriolis-OVIDE,2011/07/17,2017/05/28 23:48:00,1,4379,1,0,212,212,212,0,2017/05/28 23:48:00,2022/12/06,100.00,84,84,120,120,0,0,0,0,0,0,0,0,8,8
DOXY,1901211,coriolis,FRA,Coriolis-OVIDE,2011/06/29,2014/12/31 20:34:00,1,4397,1,0,129,129,129,0,2014/12/31 20:34:00,2022/06/29,100.00,0,0,126,126,0,0,0,0,1,1,0,0,2,2
DOXY,1901212,coriolis,FRA,Coriolis-OVIDE,2011/06/30,2016/12/21 23:02:00,1,4396,1,0,201,201,201,0,2016/12/21 23:02:00,2022/07/01,100.00,177,177,19,19,1,1,0,0,1,1,0,0,3,3
DOXY,1901213,coriolis,FRA,Coriolis-OVIDE,2011/07/05,2011/12/13 21:27:00,1,4391,1,0,17,17,17,0,2011/12/13 21:27:00,2022/06/29,100.00,1,1,15,15,0,0,0,0,0,0,0,0,1,1
DOXY,1901214,coriolis,FRA,Coriolis-OVIDE,2011/07/21,2017/02/10 23:19:00,1,4375,1,0,204,204,204,0,2017/02/10 23:19:00,2022/07/02,100.00,178,178,23,23,0,0,0,0,0,0,0,0,3,3
DOXY,1901215,coriolis,FRA,Coriolis-OVIDE,2011/07/23,2015/09/20 20:50:00,1,4373,1,0,153,153,153,0,2015/09/20 20:50:00,2022/07/01,100.00,0,0,148,148,0,0,0,0,0,0,0,0,5,5
DOXY,1901217,coriolis,FRA,Coriolis-OVIDE,2011/07/26,2017/01/16 23:43:00,1,4370,1,0,201,201,201,0,2017/01/16 23:43:00,2022/06/28,100.00,1,1,196,196,0,0,0,0,0,0,1,1,3,3
DOXY,1901218,coriolis,FRA,Coriolis-OVIDE,2011/07/29,2016/10/01 21:36:00,1,4367,1,0,190,190,190,0,2016/10/01 21:36:00,2022/06/27,100.00,2,2,184,184,0,0,0,0,0,0,0,0,4,4
DOXY,1901360,coriolis,DEU,Argo BSH,2014/06/25,2017/05/29 20:57:01,1,3305,1,0,108,108,108,0,2017/05/29 20:57:01,2022/07/01,100.00,102,102,6,6,0,0,0,0,0,0,0,0,0,0
DOXY,1901361,coriolis,DEU,Argo BSH,2014/06/25,2017/09/16 20:16:43,1,3305,1,0,119,119,119,0,2017/09/16 20:16:43,2022/06/28,100.00,117,117,2,2,0,0,0,0,0,0,0,0,0,0
DOXY,1901362,coriolis,DEU,Argo BSH,2014/06/25,2014/12/11 22:19:29,1,3305,1,0,18,18,18,0,2014/12/11 22:19:29,2022/07/02,100.00,15,15,3,3,0,0,0,0,0,0,0,0,0,0
DOXY,1901363,coriolis,DEU,Argo BSH,2014/06/25,2017/11/05 23:34:08,1,3305,1,0,124,124,124,0,2017/11/05 23:34:08,2022/06/29,100.00,114,114,10,10,0,0,0,0,0,0,0,0,0,0
DOXY,1901364,coriolis,DEU,Argo BSH,2014/06/25,2016/01/31 22:27:48,1,3305,1,0,61,61,61,0,2016/01/31 22:27:48,2022/07/01,100.00,60,60,1,1,0,0,0,0,0,0,0,0,0,0
DOXY,1901365,coriolis,DEU,Argo BSH,2014/06/25,2017/09/22 20:27:19,1,3305,1,0,121,121,121,0,2017/09/22 20:27:19,2022/06/27,100.00,121,121,0,0,0,0,0,0,0,0,0,0,0,0
DOXY,1902578,coriolis,FRA,REFINE,2022/05/29,2023/03/31 14:17:23,0,410,1,0,36,9,0,9,,,0.00,35,0,1,0,0,0,0,0,0,0,0,0,0,0
DOXY,1902593,coriolis,FRA,REFINE,2023/02/11,2023/07/11 07:15:53,0,152,0,0,19,0,0,0,,,0.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0
DOXY,1902601,coriolis,FRA,REFINE,2023/03/07,2023/07/09 13:10:08,0,128,0,0,22,0,0,0,,,0.00,21,0,1,0,0,0,0,0,0,0,0,0,0,0
DOXY,1902602,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/09 11:39:00,0,55,0,0,9,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,9,0,0,0
DOXY,1902604,coriolis,NOR,Argo NORWAY,2023/05/20,2023/07/12 22:41:00,0,54,0,0,6,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,6,0,0,0
DOXY,1902605,coriolis,ITA,Argo ITALY,2023/04/28,2023/07/10 11:29:00,0,76,0,0,110,0,0,0,,,0.00,104,0,6,0,0,0,0,0,0,0,0,0,0,0
DOXY,2903783,coriolis,FRA,REFINE,2022/12/09,2023/07/07 02:57:08,0,216,0,0,22,0,0,0,,,0.00,21,0,0,0,0,0,0,0,0,0,0,0,1,0
DOXY,2903787,coriolis,FRA,REFINE,2023/02/06,2023/07/06 07:06:24,0,157,0,0,20,0,0,0,,,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0
DOXY,2903794,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/10 23:36:35,0,55,0,0,12,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,12,0,0,0
DOXY,2903795,coriolis,ITA,Argo ITALY,2023/04/24,2023/07/11 01:50:30,0,80,0,0,154,0,0,0,,,0.00,154,0,0,0,0,0,0,0,0,0,0,0,0,0
DOXY,3900275,coriolis,DEU,Argo IFM-GEOMAR,2004/08/25,2007/08/09 08:05:38,0,6896,1,1,61,61,0,61,,,0.00,0,0,0,0,0,0,0,0,0,0,61,0,0,0
DOXY,3900281,coriolis,DEU,Argo IFM-GEOMAR,2004/08/25,2005/04/12 00:57:09,0,6896,1,1,12,12,0,12,,,0.00,0,0,0,0,0,0,0,0,0,0,12,0,0,0
DOXY,3900515,coriolis,EXT,Argo eq. ESP-OMZ,2005/10/22,2009/08/07 08:57:37,1,6473,1,0,269,269,269,0,2009/08/07 08:57:37,2022/06/29,100.00,99,99,170,170,0,0,0,0,0,0,0,0,0,0
DOXY,3900516,coriolis,EXT,Argo eq. ESP-OMZ,2005/10/25,2008/06/07 08:00:17,1,6470,1,0,187,187,187,0,2008/06/07 08:00:17,2022/07/01,100.00,137,137,48,48,0,0,0,0,0,0,2,2,0,0
DOXY,3900521,coriolis,EXT,Argo eq. ESP-OMZ,2006/06/01,2011/05/31 09:18:57,1,6251,1,0,330,330,330,0,2011/05/31 09:18:57,2022/06/30,100.00,152,152,178,178,0,0,0,0,0,0,0,0,0,0
DOXY,3900522,coriolis,EXT,Argo eq. ESP-OMZ,2006/05/31,2012/04/14 06:34:14,0,6252,1,1,396,396,0,396,,,0.00,0,0,0,0,0,0,0,0,0,0,358,0,38,0
DOXY,3900523,coriolis,EXT,Argo eq. ESP-OMZ,2006/05/30,2011/03/10 09:27:52,1,6253,1,0,336,336,336,0,2011/03/10 09:27:52,2022/06/28,100.00,72,72,26,26,0,0,0,0,0,0,238,238,0,0
DOXY,3900524,coriolis,EXT,Argo eq. ESP-OMZ,2006/06/03,2011/10/05 09:54:59,1,6249,1,0,261,261,261,0,2011/10/05 09:54:59,2022/07/03,100.00,40,40,28,28,0,0,0,0,0,0,193,193,0,0
DOXY,3900531,coriolis,FRA,Coriolis-FLOPS,2007/11/03,2011/07/07 03:22:00,1,5731,1,0,129,129,129,0,2011/07/07 03:22:00,2022/06/27,100.00,0,0,0,0,0,0,0,0,0,0,129,129,0,0
DOXY,3900532,coriolis,FRA,Coriolis-FLOPS,2007/11/05,2012/08/03 03:09:00,0,5729,1,0,174,174,0,174,,,0.00,0,0,0,0,0,0,0,0,0,0,174,0,0,0
DOXY,3900533,coriolis,FRA,Coriolis-FLOPS,2007/11/05,2012/07/14 03:07:00,0,5729,1,0,172,172,0,172,,,0.00,0,0,0,0,0,0,0,0,0,0,172,0,0,0
DOXY,3900534,coriolis,FRA,Coriolis-FLOPS,2007/11/04,2012/10/21 02:34:00,0,5730,1,0,182,182,0,182,,,0.00,181,0,0,0,0,0,0,0,0,0,1,0,0,0
DOXY,3900791,coriolis,FRA,Coriolis-FLOPS,2008/02/10,2013/02/06 14:05:00,1,5632,1,0,183,183,183,0,2013/02/06 14:05:00,2022/06/30,100.00,23,23,76,76,0,0,0,0,0,0,84,84,0,0
DOXY,3900792,coriolis,FRA,Coriolis-FLOPS,2008/02/12,2009/06/19 02:16:00,1,5630,1,0,50,50,50,0,2009/06/19 02:16:00,2022/07/01,100.00,30,30,20,20,0,0,0,0,0,0,0,0,0,0
DOXY,3900793,coriolis,FRA,Coriolis-FLOPS,2010/12/02,2013/12/09 01:20:00,1,4606,1,0,34,34,34,0,2013/12/09 01:20:00,2022/06/28,100.00,11,11,23,23,0,0,0,0,0,0,0,0,0,0
