# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter NITRATE
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
NITRATE,1902593,coriolis,FRA,REFINE,2023/02/11,2023/07/11 07:15:53,0,152,0,0,19,0,0,0,,,0.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0
NITRATE,1902605,coriolis,ITA,Argo ITALY,2023/04/28,2023/07/10 11:29:00,0,76,0,0,101,0,0,0,,,0.00,75,0,2,0,0,0,0,0,0,0,0,0,24,0
NITRATE,2903783,coriolis,FRA,REFINE,2022/12/09,2023/07/07 02:57:08,0,216,0,0,23,0,0,0,,,0.00,23,0,0,0,0,0,0,0,0,0,0,0,0,0
NITRATE,2903794,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/10 23:36:35,0,55,0,0,12,0,0,0,,,0.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0
NITRATE,3901578,bodc,GBR,Argo UK Bio,2023/03/16,2023/07/08 02:48:00,0,119,0,0,26,0,0,0,,,0.00,2,0,22,0,2,0,0,0,0,0,0,0,0,0
NITRATE,3901579,bodc,GBR,Argo UK Bio,2023/03/26,2023/04/04 11:18:00,0,109,0,0,5,0,0,0,,,0.00,0,0,1,0,0,0,0,0,0,0,4,0,0,0
NITRATE,3902120,coriolis,EUR,AtlantOS_H2020,2018/03/14,2022/01/01 09:05:00,0,1947,1,0,283,283,0,283,,,0.00,281,0,2,0,0,0,0,0,0,0,0,0,0,0
NITRATE,3902121,coriolis,EUR,AtlantOS_H2020,2018/03/16,2021/10/02 17:58:00,0,1945,1,0,330,330,0,330,,,0.00,329,0,1,0,0,0,0,0,0,0,0,0,0,0
NITRATE,3902122,coriolis,EUR,AtlantOS_H2020,2017/10/08,2022/01/21 13:56:00,0,2104,1,0,337,337,0,337,,,0.00,319,0,14,0,0,0,0,0,0,0,4,0,0,0
NITRATE,3902123,coriolis,EUR,AtlantOS_H2020,2017/10/09,2021/04/01 09:04:00,1,2103,1,0,277,277,277,0,2021/04/01 09:04:00,2023/04/27,100.00,260,260,17,17,0,0,0,0,0,0,0,0,0,0
NITRATE,3902124,coriolis,EUR,AtlantOS_H2020,2017/10/18,2022/10/05 12:48:00,0,2094,1,0,378,361,0,361,,,0.00,374,0,4,0,0,0,0,0,0,0,0,0,0,0
NITRATE,3902125,coriolis,EUR,AtlantOS_H2020,2017/10/19,2023/07/10 09:25:00,0,2093,1,0,226,189,0,189,,,0.00,225,0,1,0,0,0,0,0,0,0,0,0,0,0
NITRATE,3902488,coriolis,DEU,Argo GERMANY,2023/02/13,2023/04/10 22:43:02,0,150,0,0,17,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,17,0,0,0
NITRATE,3902498,coriolis,FRA,REFINE,2023/03/07,2023/07/11 12:16:43,0,128,0,0,20,0,0,0,,,0.00,13,0,6,0,0,0,0,0,0,0,0,0,1,0
NITRATE,4901802,coriolis,EXT,NAOS-Canada,2016/07/09,2016/10/31 15:26:56,1,2560,1,0,98,98,98,0,2016/10/31 15:26:56,2022/08/05,100.00,97,97,1,1,0,0,0,0,0,0,0,0,0,0
NITRATE,4901804,coriolis,EXT,NAOS-Canada,2017/07/20,2017/07/29 16:12:11,0,2184,1,0,10,10,0,10,,,0.00,9,0,0,0,0,0,0,0,0,0,0,0,1,0
NITRATE,4901805,coriolis,EXT,NAOS-Canada,2017/07/20,2018/08/09 15:36:57,1,2184,1,0,113,113,113,0,2018/08/09 15:36:57,2022/09/05,100.00,111,111,2,2,0,0,0,0,0,0,0,0,0,0
NITRATE,4901806,coriolis,EXT,NAOS-Canada,2019/07/17,2019/09/02 15:32:59,0,1457,1,0,7,6,0,6,,,0.00,4,0,0,0,1,0,1,0,0,0,0,0,1,0
NITRATE,4902437,coriolis,EXT,NAOS-Canada,2022/10/12,2023/07/11 16:05:31,0,274,0,0,41,0,0,0,,,0.00,36,0,2,0,0,0,2,0,0,0,1,0,0,0
NITRATE,4902602,coriolis,EXT,NAOS-Canada,2021/10/25,2022/10/24 16:43:34,0,626,1,0,158,106,0,106,,,0.00,158,0,0,0,0,0,0,0,0,0,0,0,0,0
NITRATE,4902630,coriolis,EXT,NAOS-Canada,2022/10/12,2022/10/25 17:15:09,0,274,0,0,15,0,0,0,,,0.00,14,0,0,0,0,0,1,0,0,0,0,0,0,0
NITRATE,4903657,coriolis,FRA,REFINE,2023/02/06,2023/07/07 01:25:06,0,157,0,0,20,0,0,0,,,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0
NITRATE,4903711,coriolis,EUR,EuroArgo,2023/05/11,2023/07/06 21:37:00,0,63,0,0,7,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,7,0,0,0
NITRATE,5906970,coriolis,FRA,REFINE,2022/10/16,2023/07/12 05:50:21,0,270,0,0,30,0,0,0,,,0.00,28,0,2,0,0,0,0,0,0,0,0,0,0,0
NITRATE,5906971,coriolis,FRA,NAOS-France,2022/11/27,2023/07/12 11:59:33,0,228,0,0,27,0,0,0,,,0.00,0,0,19,0,8,0,0,0,0,0,0,0,0,0
NITRATE,5906972,coriolis,FRA,NAOS-France,2022/10/21,2023/07/08 21:46:41,0,265,0,0,33,0,0,0,,,0.00,33,0,0,0,0,0,0,0,0,0,0,0,0,0
NITRATE,6901004,coriolis,FRA,Coriolis-remOcean,2015/01/24,2018/01/06 23:59:00,1,3092,1,0,344,344,344,0,2018/01/06 23:59:00,2022/08/29,100.00,338,338,6,6,0,0,0,0,0,0,0,0,0,0
NITRATE,6901032,coriolis,FRA,NAOS-France,2012/11/24,2013/01/24 11:33:00,1,3883,1,0,22,22,22,0,2013/01/24 11:33:00,2022/09/05,100.00,22,22,0,0,0,0,0,0,0,0,0,0,0,0
