# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter PH_IN_SITU_TOTAL
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
PH_IN_SITU_TOTAL,1902578,coriolis,FRA,REFINE,2022/05/29,2023/03/31 14:17:23,0,410,1,0,36,9,0,9,,,0.00,36,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,1902593,coriolis,FRA,REFINE,2023/02/11,2023/07/11 07:15:53,0,152,0,0,19,0,0,0,,,0.00,7,0,1,0,0,0,0,0,0,0,11,0,0,0
PH_IN_SITU_TOTAL,2903783,coriolis,FRA,REFINE,2022/12/09,2023/06/16 23:36:44,0,216,0,0,20,0,0,0,,,0.00,0,0,0,0,0,0,0,0,0,0,19,0,1,0
PH_IN_SITU_TOTAL,2903787,coriolis,FRA,REFINE,2023/02/06,2023/07/06 07:06:24,0,157,0,0,20,0,0,0,,,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,2903794,coriolis,NOR,Argo NORWAY,2023/05/19,2023/07/10 23:36:35,0,55,0,0,12,0,0,0,,,0.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3901578,bodc,GBR,Argo UK Bio,2023/03/16,2023/07/08 02:48:00,0,119,0,0,26,0,0,0,,,0.00,21,0,5,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3901579,bodc,GBR,Argo UK Bio,2023/03/26,2023/04/04 11:18:00,0,109,0,0,5,0,0,0,,,0.00,0,0,5,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3901667,coriolis,DEU,Argo BSH,2018/06/12,2018/10/15 13:50:42,0,1857,1,0,19,19,0,19,,,0.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3901668,coriolis,DEU,Argo BSH,2018/06/12,2021/11/28 04:16:01,0,1857,1,0,182,182,0,182,,,0.00,181,0,1,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3901669,coriolis,DEU,Argo BSH,2018/06/01,2021/08/20 08:50:18,0,1868,1,0,179,179,0,179,,,0.00,179,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3902471,coriolis,FRA,REFINE,2022/11/02,2023/07/11 06:13:56,0,253,0,0,33,0,0,0,,,0.00,33,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,3902498,coriolis,FRA,REFINE,2023/03/07,2023/07/11 12:16:43,0,128,0,0,20,0,0,0,,,0.00,0,0,0,0,0,0,0,0,2,0,17,0,1,0
PH_IN_SITU_TOTAL,4903634,coriolis,FRA,REFINE,2022/05/21,2023/07/11 12:17:52,0,418,1,0,47,10,0,10,,,0.00,47,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,4903657,coriolis,FRA,REFINE,2023/02/06,2023/07/07 01:25:06,0,157,0,0,20,0,0,0,,,0.00,1,0,3,0,1,0,1,0,1,0,13,0,0,0
PH_IN_SITU_TOTAL,4903658,coriolis,FRA,REFINE,2023/02/11,2023/07/10 06:56:28,0,152,0,0,19,0,0,0,,,0.00,18,0,1,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,5906970,coriolis,FRA,REFINE,2022/10/16,2023/07/12 05:50:21,0,270,0,0,30,0,0,0,,,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6902879,coriolis,EUR,LOV_ATLANTOS,2017/11/15,2018/04/17 06:31:53,0,2066,1,1,82,82,0,82,,,0.00,73,0,1,0,0,0,0,0,0,0,8,0,0,0
PH_IN_SITU_TOTAL,6902969,coriolis,EUR,LOV_ATLANTOS,2019/04/16,2021/06/27 10:41:52,0,1549,1,0,177,177,0,177,,,0.00,176,0,1,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903026,coriolis,FRA,Argo FPAII-GMMC,2020/01/17,2020/12/25 00:40:00,1,1273,1,0,97,97,97,0,2020/12/25 00:40:00,2023/02/01,100.00,94,94,2,2,0,0,0,0,0,0,1,1,0,0
PH_IN_SITU_TOTAL,6903070,coriolis,FRA,Argo FPAII-GMMC,2021/02/16,2022/10/24 11:37:00,0,877,1,0,101,90,0,90,,,0.00,101,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903093,coriolis,FRA,Argo FPAII-GMMC,2020/12/22,2023/05/24 17:48:02,0,933,1,0,151,102,0,102,,,0.00,135,0,16,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903094,coriolis,FRA,Argo FPAII-GMMC,2020/12/25,2022/10/11 16:51:35,0,930,1,0,127,114,0,114,,,0.00,7,0,3,0,8,0,11,0,23,0,75,0,0,0
PH_IN_SITU_TOTAL,6903130,coriolis,FRA,Argo FPAII-GMMC,2021/10/15,2021/11/30 10:12:00,0,636,1,0,19,19,0,19,,,0.00,19,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903549,coriolis,NOR,Argo NORWAY,2019/05/19,2022/06/13 11:40:00,0,1516,1,0,230,230,0,230,,,0.00,230,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903550,coriolis,NOR,Argo NORWAY,2019/05/20,2021/05/15 11:36:00,0,1515,1,0,147,147,0,147,,,0.00,139,0,0,0,0,0,0,0,0,0,8,0,0,0
PH_IN_SITU_TOTAL,6903551,coriolis,NOR,Argo NORWAY,2019/05/29,2021/01/29 11:18:00,1,1506,1,0,124,124,124,0,2021/01/29 11:18:00,2023/05/10,100.00,0,0,123,123,0,0,0,0,0,0,1,1,0,0
PH_IN_SITU_TOTAL,6903574,coriolis,NOR,Argo NORWAY,2020/08/02,2023/05/18 11:28:00,0,1075,1,0,200,138,0,138,,,0.00,0,0,0,0,0,0,0,0,0,0,199,0,1,0
PH_IN_SITU_TOTAL,6903575,coriolis,NOR,Argo NORWAY,2021/04/18,2023/05/19 11:38:00,0,816,1,0,153,90,0,90,,,0.00,151,0,1,0,0,0,0,0,0,0,0,0,1,0
PH_IN_SITU_TOTAL,6903576,coriolis,NOR,Argo NORWAY,2022/06/04,2023/02/15 11:22:00,0,404,1,0,52,8,0,8,,,0.00,18,0,0,0,0,0,0,0,0,0,34,0,0,0
PH_IN_SITU_TOTAL,6903590,coriolis,NOR,Argo NORWAY,2022/06/12,2023/07/08 11:19:00,0,396,1,0,79,6,0,6,,,0.00,31,0,9,0,3,0,1,0,7,0,28,0,0,0
PH_IN_SITU_TOTAL,6903591,coriolis,NOR,Argo NORWAY,2022/06/17,2023/07/08 11:14:00,0,391,1,0,78,5,0,5,,,0.00,78,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903592,coriolis,NOR,Argo NORWAY,2022/06/05,2023/07/11 11:17:00,0,403,1,0,81,8,0,8,,,0.00,81,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903805,coriolis,ITA,Argo ITALY,2021/11/11,2022/01/28 11:34:00,0,609,1,0,33,33,0,33,,,0.00,33,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903874,coriolis,EUR,EuroSea Argo,2021/03/28,2023/07/12 11:17:00,0,837,1,0,98,61,0,61,,,0.00,82,0,0,0,0,0,0,0,0,0,16,0,0,0
PH_IN_SITU_TOTAL,6903875,coriolis,EUR,EuroSea Argo,2021/03/12,2022/06/16 12:14:00,0,853,1,0,56,56,0,56,,,0.00,13,0,0,0,1,0,1,0,3,0,38,0,0,0
PH_IN_SITU_TOTAL,6903876,coriolis,EUR,EuroSea Argo,2021/04/03,2022/10/08 07:48:00,0,831,1,0,78,69,0,69,,,0.00,58,0,2,0,0,0,1,0,2,0,15,0,0,0
PH_IN_SITU_TOTAL,6903877,coriolis,EUR,EuroSea Argo,2021/04/03,2023/07/05 12:19:00,0,831,1,0,105,69,0,69,,,0.00,105,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6903878,coriolis,EUR,EuroSea Argo,2021/03/12,2023/07/11 12:17:00,0,853,1,0,95,58,0,58,,,0.00,95,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6904110,coriolis,DEU,Argo GERMANY 2025,2021/07/29,2023/07/12 11:13:00,0,714,1,0,112,60,0,60,,,0.00,20,0,1,0,2,0,3,0,2,0,84,0,0,0
PH_IN_SITU_TOTAL,6904111,coriolis,DEU,Argo GERMANY 2025,2021/07/29,2023/07/06 11:13:00,0,714,1,0,112,60,0,60,,,0.00,21,0,0,0,0,0,0,0,1,0,90,0,0,0
PH_IN_SITU_TOTAL,6904112,coriolis,DEU,Argo GERMANY 2025,2021/07/30,2023/07/12 11:20:00,0,713,1,0,111,59,0,59,,,0.00,75,0,0,0,0,0,0,0,4,0,32,0,0,0
PH_IN_SITU_TOTAL,6904114,coriolis,DEU,Argo GERMANY 2025,2021/08/15,2023/07/07 11:18:00,0,697,1,0,99,47,0,47,,,0.00,99,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6904115,coriolis,DEU,Argo GERMANY 2025,2021/08/15,2022/08/24 11:22:00,0,697,1,0,62,50,0,50,,,0.00,0,0,0,0,0,0,0,0,3,0,59,0,0,0
PH_IN_SITU_TOTAL,6904134,coriolis,DEU,Argo GERMANY,2021/06/08,2021/09/17 07:46:00,0,765,1,0,33,33,0,33,,,0.00,33,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6904182,bodc,GBR,Argo UK Bio,2022/02/16,2023/07/05 13:23:00,0,512,1,0,104,34,0,34,,,0.00,87,0,7,0,2,0,2,0,0,0,6,0,0,0
PH_IN_SITU_TOTAL,6904183,bodc,GBR,Argo UK Bio,2022/03/03,2023/07/07 05:33:00,0,497,1,0,99,29,0,29,,,0.00,89,0,3,0,5,0,2,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6904184,bodc,GBR,Argo UK Bio,2022/03/04,2023/07/08 13:14:00,0,496,1,0,96,28,0,28,,,0.00,92,0,4,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6904185,bodc,GBR,Argo UK Bio,2022/07/24,2023/07/12 07:20:00,0,354,0,0,80,0,0,0,,,0.00,80,0,0,0,0,0,0,0,0,0,0,0,0,0
PH_IN_SITU_TOTAL,6904186,bodc,GBR,Argo UK Bio,2023/02/23,2023/07/07 02:44:00,0,140,0,0,30,0,0,0,,,0.00,0,0,2,0,1,0,0,0,2,0,25,0,0,0
