# DMQC status and Data quality control statistics
# Project : European_BGC_Fleet
# Update date : 20230713022802

# Statistics per float for parameter PSAL
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
PSAL,1900650,coriolis,DEU,Argo IFM-GEOMAR,2006/06/11,2010/03/12 00:23:41,1,6241,1,0,137,137,130,7,2010/03/12 00:23:41,2019/06/03,94.89,116,110,20,19,0,0,0,0,0,0,1,1,0,0
PSAL,1900651,coriolis,DEU,Argo IFM-GEOMAR,2006/06/19,2009/11/19 20:29:42,1,6233,1,0,122,122,121,1,2009/11/19 20:29:42,2019/06/03,99.18,109,108,12,12,0,0,1,1,0,0,0,0,0,0
PSAL,1900652,coriolis,DEU,Argo IFM-GEOMAR,2006/07/03,2010/04/12 20:53:09,1,6219,1,0,130,130,128,2,2010/04/12 20:53:09,2019/06/03,98.46,107,105,23,23,0,0,0,0,0,0,0,0,0,0
PSAL,1900943,coriolis,DEU,Argo eq. IFM2,2007/02/13,2007/12/27 09:19:00,1,5994,1,0,64,64,64,0,2007/12/27 09:19:00,2021/09/06,100.00,61,61,0,0,0,0,0,0,0,0,0,0,3,3
PSAL,1901205,coriolis,FRA,Coriolis-OVIDE,2011/07/21,2016/11/12 23:35:00,1,4375,1,0,195,195,195,0,2016/11/12 23:35:00,2018/02/13,100.00,188,188,3,3,0,0,1,1,0,0,0,0,3,3
PSAL,1901206,coriolis,FRA,Coriolis-OVIDE,2011/07/23,2016/12/24 22:51:00,1,4373,1,0,199,199,199,0,2016/12/24 22:51:00,2018/02/13,100.00,197,197,1,1,0,0,0,0,0,0,0,0,1,1
PSAL,1901207,coriolis,FRA,Coriolis-Good Hope,2010/10/10,2016/02/23 20:33:00,1,4659,1,0,197,197,197,0,2016/02/23 20:33:00,2018/01/24,100.00,194,194,2,2,0,0,0,0,0,0,0,0,1,1
PSAL,1901208,coriolis,FRA,Coriolis-OVIDE,2011/07/24,2017/04/05 23:37:00,1,4372,1,0,209,209,209,0,2017/04/05 23:37:00,2021/09/17,100.00,208,208,1,1,0,0,0,0,0,0,0,0,0,0
PSAL,1901209,coriolis,FRA,Coriolis-OVIDE,2011/08/12,2012/03/30 20:35:00,1,4353,1,0,24,24,24,0,2012/03/30 20:35:00,2015/10/06,100.00,24,24,0,0,0,0,0,0,0,0,0,0,0,0
PSAL,1901210,coriolis,FRA,Coriolis-OVIDE,2011/07/17,2017/05/28 23:48:00,1,4379,1,0,212,212,212,0,2017/05/28 23:48:00,2018/02/13,100.00,202,202,2,2,0,0,0,0,0,0,0,0,8,8
PSAL,1901211,coriolis,FRA,Coriolis-OVIDE,2011/06/29,2014/12/31 20:34:00,1,4397,1,0,129,129,129,0,2014/12/31 20:34:00,2018/02/13,100.00,125,125,1,1,0,0,0,0,0,0,1,1,2,2
PSAL,1901212,coriolis,FRA,Coriolis-OVIDE,2011/06/30,2016/12/21 23:02:00,1,4396,1,0,201,201,201,0,2016/12/21 23:02:00,2019/03/14,100.00,194,194,2,2,1,1,0,0,0,0,1,1,3,3
PSAL,1901213,coriolis,FRA,Coriolis-OVIDE,2011/07/05,2011/12/13 21:27:00,1,4391,1,0,17,17,17,0,2011/12/13 21:27:00,2018/02/13,100.00,16,16,0,0,0,0,0,0,0,0,0,0,1,1
PSAL,1901214,coriolis,FRA,Coriolis-OVIDE,2011/07/21,2017/02/10 23:19:00,1,4375,1,0,204,204,204,0,2017/02/10 23:19:00,2018/02/13,100.00,200,200,1,1,0,0,0,0,0,0,0,0,3,3
PSAL,1901215,coriolis,FRA,Coriolis-OVIDE,2011/07/23,2015/09/20 20:50:00,1,4373,1,0,153,153,153,0,2015/09/20 20:50:00,2018/02/13,100.00,148,148,0,0,0,0,0,0,0,0,0,0,5,5
PSAL,1901217,coriolis,FRA,Coriolis-OVIDE,2011/07/26,2017/01/16 23:43:00,1,4370,1,0,201,201,201,0,2017/01/16 23:43:00,2018/02/13,100.00,196,196,0,0,0,0,0,0,0,0,1,1,4,4
PSAL,1901218,coriolis,FRA,Coriolis-OVIDE,2011/07/29,2016/10/01 21:36:00,1,4367,1,0,190,190,190,0,2016/10/01 21:36:00,2018/02/13,100.00,185,185,1,1,0,0,0,0,0,0,0,0,4,4
PSAL,1901360,coriolis,DEU,Argo BSH,2014/06/25,2017/05/29 20:57:01,1,3305,1,0,108,108,108,0,2017/05/29 20:57:01,2020/08/20,100.00,55,55,53,53,0,0,0,0,0,0,0,0,0,0
PSAL,1901361,coriolis,DEU,Argo BSH,2014/06/25,2017/09/16 20:16:43,1,3305,1,0,119,119,119,0,2017/09/16 20:16:43,2021/07/30,100.00,108,108,11,11,0,0,0,0,0,0,0,0,0,0
PSAL,1901362,coriolis,DEU,Argo BSH,2014/06/25,2014/12/11 22:19:29,1,3305,1,0,18,18,18,0,2014/12/11 22:19:29,2017/06/15,100.00,16,16,2,2,0,0,0,0,0,0,0,0,0,0
PSAL,1901363,coriolis,DEU,Argo BSH,2014/06/25,2017/11/05 23:34:08,1,3305,1,0,124,124,124,0,2017/11/05 23:34:08,2018/07/11,100.00,45,45,79,79,0,0,0,0,0,0,0,0,0,0
