# Warnings for BBP700
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
BBP700,1902578,FRA,,,X,
BBP700,2903783,FRA,,X,,
BBP700,3901496,GBR,,,X,X
BBP700,3901497,GBR,,,X,X
BBP700,3901498,GBR,,,X,X
BBP700,3901530,GBR,X,,X,
BBP700,3901531,GBR,X,X,X,X
BBP700,3902120,EUR,X,,X,
BBP700,3902121,EUR,X,,X,X
BBP700,3902122,EUR,X,,X,X
BBP700,3902123,EUR,X,,X,
BBP700,3902124,EUR,X,,X,X
BBP700,3902125,EUR,,,X,
BBP700,3902498,FRA,,X,,
BBP700,4901802,EXT,X,,,
BBP700,4901803,EXT,X,,,
BBP700,4901804,EXT,,X,,
BBP700,4901806,EXT,,X,X,
BBP700,4902602,EXT,,,X,
BBP700,4903634,FRA,,,X,
BBP700,4903714,FIN,,,X,
BBP700,5906868,EXT,,,X,
BBP700,6900796,NOR,,X,X,
BBP700,6900797,NOR,,,X,
BBP700,6900798,NOR,,X,X,
BBP700,6900799,NOR,,X,X,
BBP700,6900807,EUR,X,X,,
BBP700,6900876,DEU,X,X,X,X
BBP700,6900877,DEU,X,,X,X
BBP700,6901004,FRA,X,X,,
BBP700,6901151,EUR,,,X,X
BBP700,6901152,EUR,X,,X,X
BBP700,6901174,GBR,,X,X,X
BBP700,6901175,GBR,,,X,
BBP700,6901180,GBR,,,X,
BBP700,6901181,GBR,,X,X,X
BBP700,6901182,GBR,X,,X,X
BBP700,6901183,GBR,,,X,X
BBP700,6901437,FRA,X,,,
BBP700,6901439,FRA,X,,,
BBP700,6901440,FRA,,X,,
BBP700,6901472,FRA,X,X,,
BBP700,6901473,FRA,X,X,X,X
BBP700,6901474,FRA,X,X,X,
BBP700,6901475,FRA,X,,,X
BBP700,6901480,FRA,X,X,,
BBP700,6901481,FRA,X,,,
BBP700,6901485,FRA,X,X,,
BBP700,6901486,FRA,X,X,,
BBP700,6901489,FRA,X,X,X,X
BBP700,6901491,FRA,,X,,
BBP700,6901492,FRA,X,X,,
BBP700,6901493,FRA,X,X,,
BBP700,6901494,FRA,X,X,,
BBP700,6901495,FRA,X,,X,X
BBP700,6901510,FRA,X,X,X,
BBP700,6901511,FRA,X,X,,
BBP700,6901512,FRA,,X,,
BBP700,6901513,FRA,X,,,
BBP700,6901514,FRA,,X,,
BBP700,6901516,FRA,X,,,
BBP700,6901520,FRA,,X,,
BBP700,6901522,FRA,,,X,
BBP700,6901523,FRA,X,X,,
BBP700,6901524,FRA,X,,,
BBP700,6901525,FRA,X,X,,
BBP700,6901527,FRA,X,,,
BBP700,6901528,FRA,,X,,
BBP700,6901529,FRA,X,,,
BBP700,6901574,FRA,,X,,
BBP700,6901575,FRA,X,X,X,X
BBP700,6901576,FRA,X,,,
BBP700,6901578,FRA,X,X,X,
BBP700,6901579,FRA,,X,,
BBP700,6901580,FRA,X,,,
BBP700,6901581,FRA,X,X,,
BBP700,6901582,FRA,X,X,,
BBP700,6901583,FRA,X,X,,
BBP700,6901584,FRA,X,X,,
BBP700,6901585,FRA,X,X,,
BBP700,6901600,FRA,X,,,
BBP700,6901646,FRA,X,X,,
BBP700,6901647,FRA,X,X,,
BBP700,6901648,FRA,,X,,
BBP700,6901649,FRA,,X,,
BBP700,6901650,FRA,X,,,
BBP700,6901653,FRA,X,X,,
BBP700,6901654,FRA,,X,X,
BBP700,6901656,FRA,X,,X,X
BBP700,6901657,FRA,,X,X,
BBP700,6901658,FRA,,X,,
BBP700,6901660,FRA,X,,X,X
BBP700,6901687,FRA,X,X,X,X
