# Warnings for CDOM
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
CDOM,1902578,FRA,,X,X,
CDOM,1902593,FRA,,X,,
CDOM,1902602,NOR,,X,,
CDOM,1902605,ITA,,X,,
CDOM,2903783,FRA,,X,,
CDOM,2903794,NOR,,X,,
CDOM,3901578,GBR,,X,,
CDOM,3901579,GBR,,X,,
CDOM,3902120,EUR,X,X,X,
CDOM,3902121,EUR,X,X,X,X
CDOM,3902122,EUR,X,X,X,X
CDOM,3902123,EUR,X,X,X,
CDOM,3902124,EUR,X,X,X,
CDOM,3902125,EUR,,X,X,
CDOM,3902471,FRA,,X,,
CDOM,3902472,FRA,,X,,
CDOM,3902488,DEU,,X,,
CDOM,3902498,FRA,,X,,
CDOM,4901802,EXT,X,X,X,
CDOM,4901803,EXT,X,X,X,
CDOM,4901804,EXT,,X,X,
CDOM,4901805,EXT,,X,X,
CDOM,4901806,EXT,,X,X,
CDOM,4902437,EXT,,X,,
CDOM,4902602,EXT,,X,X,
CDOM,4902630,EXT,,X,,
CDOM,4903634,FRA,,X,X,
CDOM,4903643,FRA,,X,,
CDOM,4903657,FRA,,X,,
CDOM,4903711,EUR,,X,,
CDOM,5906868,EXT,,X,X,
CDOM,5906970,FRA,,X,,
CDOM,5906971,FRA,,X,,
CDOM,5906972,FRA,,X,,
CDOM,5906990,FRA,,X,,
CDOM,6900807,EUR,,X,X,
CDOM,6901004,FRA,X,X,X,
CDOM,6901032,FRA,,X,X,
CDOM,6901437,FRA,X,X,X,
CDOM,6901439,FRA,X,X,X,
CDOM,6901440,FRA,,X,X,
CDOM,6901472,FRA,X,X,X,
CDOM,6901473,FRA,X,X,X,X
CDOM,6901474,FRA,X,X,X,
CDOM,6901475,FRA,X,X,X,X
CDOM,6901480,FRA,X,X,X,
CDOM,6901481,FRA,X,X,X,
CDOM,6901482,FRA,X,X,X,
CDOM,6901483,FRA,,X,X,
CDOM,6901484,FRA,,X,X,
CDOM,6901485,FRA,,X,X,
CDOM,6901486,FRA,X,X,X,
CDOM,6901489,FRA,X,X,X,X
CDOM,6901490,FRA,,X,X,
CDOM,6901491,FRA,X,X,X,
CDOM,6901492,FRA,X,X,X,
CDOM,6901493,FRA,X,X,X,
CDOM,6901494,FRA,X,X,X,
CDOM,6901495,FRA,X,,X,X
CDOM,6901496,FRA,,X,X,
CDOM,6901510,FRA,,X,X,
CDOM,6901511,FRA,X,X,X,
CDOM,6901512,FRA,,X,X,
CDOM,6901513,FRA,X,X,X,
CDOM,6901514,FRA,X,X,X,
CDOM,6901515,FRA,,X,X,
CDOM,6901516,FRA,X,X,X,
CDOM,6901517,FRA,,X,X,
CDOM,6901518,FRA,,X,X,
CDOM,6901519,FRA,,X,X,
CDOM,6901520,FRA,X,X,X,
CDOM,6901521,FRA,,X,X,
CDOM,6901522,FRA,,X,X,
CDOM,6901523,FRA,X,X,X,
CDOM,6901524,FRA,X,,X,
CDOM,6901525,FRA,X,X,X,
CDOM,6901526,FRA,X,,X,
CDOM,6901527,FRA,X,X,X,
CDOM,6901528,FRA,,X,X,
CDOM,6901529,FRA,,X,X,
CDOM,6901573,FRA,,X,X,
CDOM,6901574,FRA,,X,X,
CDOM,6901575,FRA,X,X,X,X
CDOM,6901576,FRA,,X,X,
CDOM,6901577,FRA,,X,X,
CDOM,6901578,FRA,X,X,X,
CDOM,6901579,FRA,,X,X,
CDOM,6901580,FRA,X,X,X,X
CDOM,6901581,FRA,X,X,X,X
CDOM,6901582,FRA,X,X,X,
CDOM,6901583,FRA,X,X,X,
CDOM,6901584,FRA,X,X,X,
CDOM,6901585,FRA,X,X,X,
CDOM,6901600,FRA,X,X,X,
CDOM,6901605,FRA,,X,X,
CDOM,6901646,FRA,X,X,X,
CDOM,6901647,FRA,,X,X,
CDOM,6901648,FRA,,X,X,
