# Warnings for CHLA
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
CHLA,1902578,FRA,,,X,
CHLA,3900515,EXT,X,,,
CHLA,3900516,EXT,X,,,
CHLA,3900521,EXT,X,,,
CHLA,3900522,EXT,,,X,
CHLA,3900523,EXT,X,,,
CHLA,3900524,EXT,X,,,
CHLA,3901065,EXT,X,,X,
CHLA,3901066,EXT,X,,,
CHLA,3901067,EXT,X,,X,
CHLA,3901068,EXT,X,X,,
CHLA,3901496,GBR,X,,X,
CHLA,3901497,GBR,X,,X,X
CHLA,3901498,GBR,X,,X,X
CHLA,3901530,GBR,X,,X,
CHLA,3901531,GBR,X,X,X,
CHLA,3902120,EUR,X,,X,
CHLA,3902121,EUR,,,X,
CHLA,3902122,EUR,X,,X,X
CHLA,3902123,EUR,X,,X,
CHLA,3902124,EUR,X,,X,
CHLA,3902125,EUR,,,X,
CHLA,3902498,FRA,,X,,
CHLA,4901802,EXT,X,,,
CHLA,4901803,EXT,X,,,
CHLA,4901804,EXT,,,X,
CHLA,4901806,EXT,,X,X,
CHLA,4902602,EXT,,,X,
CHLA,4903634,FRA,,,X,
CHLA,4903714,FIN,,,X,
CHLA,5906868,EXT,,,X,
CHLA,6900796,NOR,,X,X,
CHLA,6900797,NOR,,,X,
CHLA,6900798,NOR,,X,X,
CHLA,6900799,NOR,,X,X,
CHLA,6900807,EUR,X,X,X,
CHLA,6900876,DEU,,X,X,
CHLA,6900877,DEU,X,,X,X
CHLA,6901004,FRA,X,X,X,
CHLA,6901032,FRA,,,X,
CHLA,6901151,EUR,X,,X,X
CHLA,6901152,EUR,X,,X,X
CHLA,6901174,GBR,X,X,X,X
CHLA,6901175,GBR,X,,X,
CHLA,6901180,GBR,,,X,
CHLA,6901181,GBR,,X,X,
CHLA,6901182,GBR,,,X,X
CHLA,6901183,GBR,,,X,
CHLA,6901437,FRA,X,,X,
CHLA,6901439,FRA,X,,X,
CHLA,6901440,FRA,,X,X,
CHLA,6901472,FRA,X,X,X,
CHLA,6901473,FRA,X,X,X,X
CHLA,6901474,FRA,X,X,X,
CHLA,6901475,FRA,X,,X,X
CHLA,6901480,FRA,X,X,X,
CHLA,6901481,FRA,X,,X,
CHLA,6901482,FRA,,,X,
CHLA,6901484,FRA,,,X,
CHLA,6901485,FRA,X,X,X,
CHLA,6901486,FRA,X,X,X,
CHLA,6901489,FRA,X,X,X,X
CHLA,6901490,FRA,,,X,
CHLA,6901491,FRA,,X,,
CHLA,6901492,FRA,X,X,X,
CHLA,6901493,FRA,X,X,X,
CHLA,6901494,FRA,X,X,X,
CHLA,6901495,FRA,X,,X,X
CHLA,6901510,FRA,X,X,,
CHLA,6901511,FRA,X,X,,
CHLA,6901512,FRA,,X,,
CHLA,6901513,FRA,X,,,
CHLA,6901514,FRA,,X,X,
CHLA,6901515,FRA,,,X,
CHLA,6901516,FRA,X,,X,
CHLA,6901517,FRA,,,X,
CHLA,6901518,FRA,,,X,
CHLA,6901519,FRA,,,X,
CHLA,6901520,FRA,,X,X,
CHLA,6901521,FRA,,,X,
CHLA,6901522,FRA,,,X,
CHLA,6901523,FRA,X,X,X,
CHLA,6901524,FRA,X,,X,
CHLA,6901525,FRA,X,X,X,
CHLA,6901526,FRA,,,X,
CHLA,6901527,FRA,X,,X,
CHLA,6901528,FRA,,X,,
CHLA,6901529,FRA,X,,,
CHLA,6901573,FRA,,,X,
CHLA,6901574,FRA,,X,X,
