# Warnings for DOWNWELLING_PAR
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
DOWNWELLING_PAR,3901496,GBR,X,,,
DOWNWELLING_PAR,3901497,GBR,X,,,
DOWNWELLING_PAR,3901498,GBR,X,,,
DOWNWELLING_PAR,3901530,GBR,X,,,
DOWNWELLING_PAR,3901531,GBR,X,,,
DOWNWELLING_PAR,3902120,EUR,X,,X,
DOWNWELLING_PAR,3902121,EUR,,,X,
DOWNWELLING_PAR,3902122,EUR,,,X,
DOWNWELLING_PAR,3902123,EUR,,,X,
DOWNWELLING_PAR,3902124,EUR,,,X,
DOWNWELLING_PAR,3902125,EUR,,,X,
DOWNWELLING_PAR,3902498,FRA,,X,,
DOWNWELLING_PAR,4901803,EXT,X,,,
DOWNWELLING_PAR,4901804,EXT,,X,X,
DOWNWELLING_PAR,4901805,EXT,,,X,
DOWNWELLING_PAR,4901806,EXT,X,,,
DOWNWELLING_PAR,4902602,EXT,,,X,
DOWNWELLING_PAR,4903634,FRA,,,X,
DOWNWELLING_PAR,5906868,EXT,,,X,
DOWNWELLING_PAR,6901004,FRA,X,X,,
DOWNWELLING_PAR,6901032,FRA,,,X,
DOWNWELLING_PAR,6901151,EUR,,,X,
DOWNWELLING_PAR,6901152,EUR,X,,X,
DOWNWELLING_PAR,6901174,GBR,,X,X,
DOWNWELLING_PAR,6901175,GBR,,,X,
DOWNWELLING_PAR,6901180,GBR,X,,,
DOWNWELLING_PAR,6901181,GBR,X,,,
DOWNWELLING_PAR,6901183,GBR,X,,,
DOWNWELLING_PAR,6901437,FRA,X,,,
DOWNWELLING_PAR,6901439,FRA,X,X,X,
DOWNWELLING_PAR,6901440,FRA,,X,,
DOWNWELLING_PAR,6901472,FRA,X,,,
DOWNWELLING_PAR,6901473,FRA,X,X,,
DOWNWELLING_PAR,6901474,FRA,X,,,
DOWNWELLING_PAR,6901475,FRA,X,,X,
DOWNWELLING_PAR,6901480,FRA,X,,,
DOWNWELLING_PAR,6901482,FRA,,,X,
DOWNWELLING_PAR,6901483,FRA,,,X,
DOWNWELLING_PAR,6901484,FRA,X,,X,
DOWNWELLING_PAR,6901485,FRA,,X,X,
DOWNWELLING_PAR,6901486,FRA,,X,,
DOWNWELLING_PAR,6901489,FRA,,X,,
DOWNWELLING_PAR,6901490,FRA,,,X,
DOWNWELLING_PAR,6901491,FRA,,X,X,
DOWNWELLING_PAR,6901492,FRA,,X,,
DOWNWELLING_PAR,6901493,FRA,X,X,,
DOWNWELLING_PAR,6901494,FRA,X,X,,
DOWNWELLING_PAR,6901496,FRA,,,X,
DOWNWELLING_PAR,6901510,FRA,,X,X,
DOWNWELLING_PAR,6901511,FRA,,X,X,
DOWNWELLING_PAR,6901512,FRA,,X,X,
DOWNWELLING_PAR,6901513,FRA,X,,X,
DOWNWELLING_PAR,6901514,FRA,,X,,
DOWNWELLING_PAR,6901517,FRA,,,X,
DOWNWELLING_PAR,6901518,FRA,,,X,
DOWNWELLING_PAR,6901519,FRA,X,,,
DOWNWELLING_PAR,6901520,FRA,,X,X,
DOWNWELLING_PAR,6901521,FRA,,,X,
DOWNWELLING_PAR,6901522,FRA,,,X,
DOWNWELLING_PAR,6901523,FRA,,X,,
DOWNWELLING_PAR,6901525,FRA,X,X,,
DOWNWELLING_PAR,6901526,FRA,,,X,
DOWNWELLING_PAR,6901528,FRA,,X,X,
DOWNWELLING_PAR,6901529,FRA,,,X,
DOWNWELLING_PAR,6901574,FRA,,X,,
DOWNWELLING_PAR,6901575,FRA,X,,,
DOWNWELLING_PAR,6901577,FRA,,,X,
DOWNWELLING_PAR,6901578,FRA,X,,,
DOWNWELLING_PAR,6901579,FRA,X,,,
DOWNWELLING_PAR,6901581,FRA,X,,,
