# Warnings for DOWN_IRRADIANCE380
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
DOWN_IRRADIANCE380,3901496,GBR,X,,,
DOWN_IRRADIANCE380,3901497,GBR,X,,,
DOWN_IRRADIANCE380,3901498,GBR,X,,,
DOWN_IRRADIANCE380,3901530,GBR,X,,,
DOWN_IRRADIANCE380,3901531,GBR,X,,,
DOWN_IRRADIANCE380,3902120,EUR,X,,X,
DOWN_IRRADIANCE380,3902121,EUR,,,X,
DOWN_IRRADIANCE380,3902122,EUR,,,X,
DOWN_IRRADIANCE380,3902123,EUR,,,X,
DOWN_IRRADIANCE380,3902124,EUR,,,X,
DOWN_IRRADIANCE380,3902125,EUR,,,X,
DOWN_IRRADIANCE380,3902498,FRA,,X,,
DOWN_IRRADIANCE380,4901803,EXT,X,,,
DOWN_IRRADIANCE380,4901804,EXT,,,X,
DOWN_IRRADIANCE380,4901805,EXT,,,X,
DOWN_IRRADIANCE380,4902602,EXT,,,X,
DOWN_IRRADIANCE380,4903634,FRA,,,X,
DOWN_IRRADIANCE380,5906868,EXT,,,X,
DOWN_IRRADIANCE380,6901004,FRA,X,X,,
DOWN_IRRADIANCE380,6901032,FRA,,,X,
DOWN_IRRADIANCE380,6901151,EUR,,,X,
DOWN_IRRADIANCE380,6901152,EUR,X,,X,
DOWN_IRRADIANCE380,6901174,GBR,,X,X,
DOWN_IRRADIANCE380,6901175,GBR,,,X,
DOWN_IRRADIANCE380,6901180,GBR,X,,,
DOWN_IRRADIANCE380,6901181,GBR,X,,,
DOWN_IRRADIANCE380,6901183,GBR,X,,,
DOWN_IRRADIANCE380,6901437,FRA,X,,,
DOWN_IRRADIANCE380,6901439,FRA,X,X,X,
DOWN_IRRADIANCE380,6901440,FRA,,X,,
DOWN_IRRADIANCE380,6901472,FRA,X,,,
DOWN_IRRADIANCE380,6901473,FRA,X,X,,
DOWN_IRRADIANCE380,6901474,FRA,X,,,
DOWN_IRRADIANCE380,6901475,FRA,,,X,
DOWN_IRRADIANCE380,6901480,FRA,X,,,
DOWN_IRRADIANCE380,6901482,FRA,,,X,
DOWN_IRRADIANCE380,6901483,FRA,,,X,
DOWN_IRRADIANCE380,6901484,FRA,X,,X,
DOWN_IRRADIANCE380,6901485,FRA,,X,X,
DOWN_IRRADIANCE380,6901486,FRA,,X,,
DOWN_IRRADIANCE380,6901489,FRA,,X,,
DOWN_IRRADIANCE380,6901490,FRA,,,X,
DOWN_IRRADIANCE380,6901491,FRA,,X,X,
DOWN_IRRADIANCE380,6901492,FRA,,X,,
DOWN_IRRADIANCE380,6901493,FRA,X,X,,
DOWN_IRRADIANCE380,6901494,FRA,X,X,,
DOWN_IRRADIANCE380,6901496,FRA,,,X,
DOWN_IRRADIANCE380,6901510,FRA,,X,X,
DOWN_IRRADIANCE380,6901511,FRA,,X,X,
DOWN_IRRADIANCE380,6901512,FRA,,X,X,
DOWN_IRRADIANCE380,6901513,FRA,X,,X,
DOWN_IRRADIANCE380,6901514,FRA,,X,,
DOWN_IRRADIANCE380,6901517,FRA,,,X,
DOWN_IRRADIANCE380,6901518,FRA,,,X,
DOWN_IRRADIANCE380,6901519,FRA,X,,,
DOWN_IRRADIANCE380,6901520,FRA,,X,X,
DOWN_IRRADIANCE380,6901521,FRA,,,X,
DOWN_IRRADIANCE380,6901522,FRA,,,X,
DOWN_IRRADIANCE380,6901523,FRA,,X,,
DOWN_IRRADIANCE380,6901525,FRA,X,X,,
DOWN_IRRADIANCE380,6901526,FRA,,,X,
DOWN_IRRADIANCE380,6901528,FRA,,X,X,
DOWN_IRRADIANCE380,6901529,FRA,,,X,
DOWN_IRRADIANCE380,6901574,FRA,X,,,
DOWN_IRRADIANCE380,6901575,FRA,X,,,
DOWN_IRRADIANCE380,6901577,FRA,,,X,
DOWN_IRRADIANCE380,6901578,FRA,X,,,
DOWN_IRRADIANCE380,6901579,FRA,X,,,
DOWN_IRRADIANCE380,6901581,FRA,X,,,
DOWN_IRRADIANCE380,6901582,FRA,X,,,
DOWN_IRRADIANCE380,6901583,FRA,X,,,
DOWN_IRRADIANCE380,6901584,FRA,X,X,,
DOWN_IRRADIANCE380,6901585,FRA,,,X,
DOWN_IRRADIANCE380,6901600,FRA,,,X,
DOWN_IRRADIANCE380,6901605,FRA,,,X,
DOWN_IRRADIANCE380,6901646,FRA,X,,,
DOWN_IRRADIANCE380,6901647,FRA,X,,,
DOWN_IRRADIANCE380,6901648,FRA,,,X,
DOWN_IRRADIANCE380,6901649,FRA,,,X,
DOWN_IRRADIANCE380,6901650,FRA,X,,,
DOWN_IRRADIANCE380,6901651,FRA,,,X,
DOWN_IRRADIANCE380,6901653,FRA,X,X,,
DOWN_IRRADIANCE380,6901654,FRA,X,,,
DOWN_IRRADIANCE380,6901655,FRA,,,X,
DOWN_IRRADIANCE380,6901656,FRA,,,X,
DOWN_IRRADIANCE380,6901657,FRA,,X,X,
DOWN_IRRADIANCE380,6901658,FRA,X,,,
DOWN_IRRADIANCE380,6901659,FRA,,,X,
DOWN_IRRADIANCE380,6901687,FRA,X,X,,
DOWN_IRRADIANCE380,6901688,FRA,,X,X,X
DOWN_IRRADIANCE380,6901764,FRA,X,X,,
DOWN_IRRADIANCE380,6901765,FRA,X,,,
DOWN_IRRADIANCE380,6901767,FRA,X,,,
DOWN_IRRADIANCE380,6901768,FRA,X,,,
DOWN_IRRADIANCE380,6901769,FRA,X,X,,
DOWN_IRRADIANCE380,6901770,FRA,X,X,,
DOWN_IRRADIANCE380,6901771,FRA,X,X,,
DOWN_IRRADIANCE380,6901772,FRA,X,X,X,
DOWN_IRRADIANCE380,6901773,FRA,X,X,,
DOWN_IRRADIANCE380,6901774,FRA,,X,X,
DOWN_IRRADIANCE380,6901775,FRA,X,,X,
DOWN_IRRADIANCE380,6901776,FRA,X,X,X,
DOWN_IRRADIANCE380,6901860,ITA,X,,X,
DOWN_IRRADIANCE380,6901861,ITA,,X,X,
DOWN_IRRADIANCE380,6901862,ITA,X,X,,
DOWN_IRRADIANCE380,6901864,ITA,X,,,
DOWN_IRRADIANCE380,6901865,ITA,,,X,
DOWN_IRRADIANCE380,6901866,ITA,X,,,
DOWN_IRRADIANCE380,6902546,EUR,,,X,
DOWN_IRRADIANCE380,6902668,FRA,X,,,
DOWN_IRRADIANCE380,6902670,FRA,X,,,
DOWN_IRRADIANCE380,6902700,FRA,,X,X,
DOWN_IRRADIANCE380,6902701,FRA,X,X,,
DOWN_IRRADIANCE380,6902732,FRA,X,X,,
DOWN_IRRADIANCE380,6902733,FRA,,,X,
DOWN_IRRADIANCE380,6902734,FRA,X,,,
DOWN_IRRADIANCE380,6902737,FRA,X,,,
DOWN_IRRADIANCE380,6902739,FRA,X,,,
DOWN_IRRADIANCE380,6902740,FRA,,,X,
DOWN_IRRADIANCE380,6902742,FRA,X,,,
DOWN_IRRADIANCE380,6902743,FRA,X,,,
DOWN_IRRADIANCE380,6902826,FRA,,,X,
DOWN_IRRADIANCE380,6902827,FRA,,,X,
DOWN_IRRADIANCE380,6902880,FRA,X,,,
DOWN_IRRADIANCE380,6902896,FRA,X,,X,
DOWN_IRRADIANCE380,6902897,FRA,,,X,
DOWN_IRRADIANCE380,6902898,FRA,,,X,
DOWN_IRRADIANCE380,6902899,EUR,,,X,
DOWN_IRRADIANCE380,6902900,FRA,,,X,
DOWN_IRRADIANCE380,6902901,FRA,,,X,
