# Warnings for DOXY
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
DOXY,1900650,DEU,X,,X,X
DOXY,1900651,DEU,X,,X,X
DOXY,1900652,DEU,X,,X,X
DOXY,1900943,DEU,,X,,
DOXY,1901205,FRA,,X,,
DOXY,1901206,FRA,,X,,
DOXY,1901207,FRA,,X,X,
DOXY,1901210,FRA,,X,,
DOXY,1901211,FRA,,X,,
DOXY,1901212,FRA,,X,,
DOXY,1901213,FRA,,X,,
DOXY,1901214,FRA,,X,,
DOXY,1901215,FRA,,X,,
DOXY,1901217,FRA,X,X,,
DOXY,1901218,FRA,,X,,
DOXY,1902578,FRA,,,X,
DOXY,1902602,NOR,X,,,
DOXY,1902604,NOR,X,,,
DOXY,2903783,FRA,,X,,
DOXY,2903794,NOR,X,,,
DOXY,3900275,DEU,X,,X,X
DOXY,3900281,DEU,X,,X,X
DOXY,3900516,EXT,X,,,
DOXY,3900522,EXT,X,X,X,X
DOXY,3900523,EXT,X,,,
DOXY,3900524,EXT,X,,,
DOXY,3900531,FRA,X,,,
DOXY,3900532,FRA,X,,X,
DOXY,3900533,FRA,X,,X,
DOXY,3900534,FRA,X,,X,
DOXY,3900791,FRA,X,,,
DOXY,3901065,EXT,X,,,
DOXY,3901066,EXT,X,,,
DOXY,3901067,EXT,X,,,
DOXY,3901068,EXT,X,X,,
DOXY,3901075,DEU,X,,,
DOXY,3901080,DEU,X,,,
DOXY,3901082,DEU,X,,,
DOXY,3901083,DEU,X,,,
DOXY,3901496,GBR,X,,,
DOXY,3901497,GBR,X,,,
DOXY,3901498,GBR,X,,,
DOXY,3901530,GBR,X,,,
DOXY,3901531,GBR,X,,,
DOXY,3901579,GBR,X,,,
DOXY,3901667,DEU,X,X,X,
DOXY,3901998,EUR,,,X,
DOXY,3901999,EUR,,,X,
DOXY,3902004,BGR,X,,X,
DOXY,3902005,BGR,,,X,
DOXY,3902006,BGR,X,,,
DOXY,3902007,EUR,X,,X,X
DOXY,3902009,EUR,X,,X,X
DOXY,3902010,EUR,,,X,
DOXY,3902011,EUR,X,,X,
DOXY,3902101,POL,,,X,
DOXY,3902104,POL,X,,X,
DOXY,3902106,POL,X,,X,
DOXY,3902110,POL,X,,X,
DOXY,3902111,POL,X,,X,
DOXY,3902113,POL,X,,X,
DOXY,3902114,POL,,,X,
DOXY,3902115,POL,X,,X,
DOXY,3902120,EUR,X,,,X
DOXY,3902121,EUR,X,,,X
DOXY,3902122,EUR,X,,X,X
DOXY,3902123,EUR,X,,,
DOXY,3902125,EUR,,,,X
DOXY,3902126,EUR,,,X,
DOXY,3902127,EUR,,,X,
DOXY,3902128,EUR,,,X,
DOXY,3902129,EUR,X,,X,
DOXY,3902130,EUR,,,X,
DOXY,3902131,EUR,X,,X,
DOXY,3902132,EUR,,,X,
DOXY,3902462,NOR,,,X,
DOXY,3902463,NOR,,,X,
DOXY,3902464,NOR,,,X,
DOXY,3902465,NOR,,,X,
DOXY,3902476,FRA,X,,,
DOXY,3902498,FRA,,X,,
DOXY,4900607,DEU,X,,X,X
DOXY,4900608,DEU,X,,X,X
DOXY,4900609,DEU,X,,X,X
DOXY,4900610,DEU,X,,X,X
DOXY,4900611,DEU,X,,X,X
DOXY,4901801,EXT,,X,,
DOXY,4901802,EXT,X,,,
DOXY,4901803,EXT,X,,,
DOXY,4901805,EXT,X,,,
DOXY,4901806,EXT,X,,X,
DOXY,4902437,EXT,X,,,
DOXY,4902602,EXT,,,X,
DOXY,4902630,EXT,X,,,
DOXY,4903634,FRA,,,X,
DOXY,4903643,FRA,X,,,
DOXY,4903658,FRA,X,,,
DOXY,4903711,EUR,X,,,
DOXY,4903714,FIN,,,X,
DOXY,5902291,FRA,X,,X,
DOXY,5902295,FRA,,,X,
DOXY,5902297,FRA,X,,,
DOXY,5902300,FRA,X,,,
DOXY,5902303,FRA,X,,,
DOXY,5904989,NOR,,,X,
DOXY,5906866,BGR,X,,,
DOXY,5906868,EXT,,,X,
DOXY,5906971,FRA,X,,,
DOXY,5906972,FRA,X,,,
DOXY,6900346,DEU,X,,X,X
DOXY,6900347,EUR,X,,X,X
DOXY,6900348,DEU,X,,X,X
DOXY,6900499,NOR,X,,X,X
DOXY,6900500,NOR,X,,X,X
DOXY,6900524,DEU,,,X,
DOXY,6900525,DEU,X,,,
DOXY,6900529,DEU,X,,X,
DOXY,6900628,DEU,X,X,,
DOXY,6900629,DEU,X,,,
DOXY,6900630,DEU,X,,,
DOXY,6900632,DEU,X,,,
DOXY,6900642,FRA,X,X,,
DOXY,6900643,FRA,X,X,X,
DOXY,6900760,ESP,X,,X,
DOXY,6900764,ESP,,,X,
DOXY,6900784,ESP,,,X,
DOXY,6900785,ESP,X,,X,
DOXY,6900791,EUR,,,X,
DOXY,6900792,EUR,,,X,
DOXY,6900793,EUR,,,X,
DOXY,6900796,NOR,X,X,X,X
DOXY,6900797,NOR,X,,X,X
DOXY,6900798,NOR,X,X,X,X
DOXY,6900799,NOR,X,X,X,X
DOXY,6900804,BGR,,,X,
DOXY,6900807,EUR,,X,,
DOXY,6900868,DEU,X,,,
DOXY,6900869,DEU,X,,,
DOXY,6900870,DEU,X,,,
DOXY,6900871,DEU,X,,X,
DOXY,6900872,DEU,X,,,
DOXY,6900874,DEU,X,,,
DOXY,6900875,DEU,X,,,
DOXY,6900876,DEU,X,,X,X
DOXY,6900877,DEU,X,,X,X
DOXY,6900889,DEU,,,X,
DOXY,6900890,DEU,,,X,
DOXY,6900891,EUR,X,X,X,
DOXY,6900896,FRA,,,X,
DOXY,6900944,FRA,X,,X,X
DOXY,6900953,FRA,,,X,
DOXY,6900954,FRA,,,X,
DOXY,6901004,FRA,,X,,
DOXY,6901025,FRA,,X,,
DOXY,6901030,FRA,,X,,
DOXY,6901032,FRA,X,,,
DOXY,6901151,EUR,X,,,
DOXY,6901152,EUR,X,,,
DOXY,6901174,GBR,X,X,,
DOXY,6901175,GBR,X,,,
DOXY,6901180,GBR,X,,,
DOXY,6901181,GBR,X,X,,
DOXY,6901182,GBR,X,,,
DOXY,6901235,DEU,,,X,
DOXY,6901437,FRA,X,,,
DOXY,6901439,FRA,X,X,,
DOXY,6901440,FRA,X,X,,
DOXY,6901458,FRA,,,X,
DOXY,6901459,FRA,,,X,
DOXY,6901460,FRA,X,,,
DOXY,6901461,FRA,,,X,
DOXY,6901462,FRA,X,,,
DOXY,6901463,FRA,X,,,
DOXY,6901465,FRA,X,,,
DOXY,6901468,FRA,,,X,
DOXY,6901472,FRA,X,X,,
DOXY,6901473,FRA,X,X,,
DOXY,6901474,FRA,X,X,,
DOXY,6901485,FRA,,X,,
DOXY,6901486,FRA,X,X,,
DOXY,6901487,FRA,X,X,,
DOXY,6901510,FRA,X,X,,
DOXY,6901512,FRA,X,X,,
DOXY,6901514,FRA,,X,,
DOXY,6901519,FRA,X,,,
DOXY,6901523,FRA,,X,,
DOXY,6901528,FRA,X,X,,
DOXY,6901578,FRA,,X,,
DOXY,6901579,FRA,,X,,
DOXY,6901580,FRA,X,,,
