# Warnings for PRES
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
PRES,1900650,DEU,,X,,
PRES,1900651,DEU,,X,,
PRES,1900652,DEU,,X,,
PRES,1900943,DEU,,X,,
PRES,1901205,FRA,,X,,
PRES,1901206,FRA,,X,,
PRES,1901207,FRA,,X,,
PRES,1901208,FRA,,X,,
PRES,1901209,FRA,,X,,
PRES,1901210,FRA,,X,,
PRES,1901211,FRA,,X,,
PRES,1901212,FRA,,X,,
PRES,1901213,FRA,,X,,
PRES,1901214,FRA,,X,,
PRES,1901215,FRA,,X,,
PRES,1901217,FRA,,X,,
PRES,1901218,FRA,,X,,
PRES,1901360,DEU,,X,,
PRES,1901361,DEU,,X,,
PRES,1901362,DEU,,X,,
PRES,1901363,DEU,,X,,
PRES,1901364,DEU,,X,,
PRES,1901365,DEU,,X,,
PRES,1902578,FRA,,X,X,
PRES,1902593,FRA,,X,,
PRES,1902601,FRA,,X,,
PRES,1902602,NOR,,X,,
PRES,1902604,NOR,,X,,
PRES,1902605,ITA,,X,,
PRES,2903783,FRA,,X,,
PRES,2903787,FRA,,X,,
PRES,2903794,NOR,,X,,
PRES,2903795,ITA,,X,,
PRES,3900275,DEU,,X,,
PRES,3900281,DEU,,X,,
PRES,3900515,EXT,,X,,
PRES,3900516,EXT,,X,,
PRES,3900521,EXT,,X,,
PRES,3900522,EXT,,X,,
PRES,3900523,EXT,,X,,
PRES,3900524,EXT,,X,,
PRES,3900531,FRA,,X,,
PRES,3900532,FRA,,X,,
PRES,3900533,FRA,,X,,
PRES,3900534,FRA,,X,,
PRES,3900791,FRA,,X,,
PRES,3900792,FRA,,X,,
PRES,3900793,FRA,,X,,
PRES,3901065,EXT,,X,,
PRES,3901066,EXT,,X,,
PRES,3901067,EXT,,X,,
PRES,3901068,EXT,,X,,
PRES,3901075,DEU,,X,,
PRES,3901076,DEU,,X,,
PRES,3901077,DEU,,X,,
PRES,3901078,DEU,,X,,
PRES,3901079,DEU,,X,,
PRES,3901080,DEU,,X,,
PRES,3901081,DEU,,X,,
PRES,3901082,DEU,,X,,
PRES,3901083,DEU,,X,,
PRES,3901084,DEU,,X,,
PRES,3901496,GBR,,X,,
PRES,3901497,GBR,,X,,
PRES,3901498,GBR,,X,,
PRES,3901530,GBR,,X,,
PRES,3901531,GBR,,X,,
PRES,3901578,GBR,,X,,
PRES,3901579,GBR,,X,,
