# DMQC status and Data quality control statistics
# Project : MOCCA_Fleet
# Update date : 20230713022802

# Statistics per float for parameter PRES
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
PRES,3901838,coriolis,DEU,MOCCA-GER,2016/08/23,2023/07/12 14:42:30,1,2515,1,0,252,215,235,0,2023/01/20 11:51:30,2023/03/05,93.25,0,0,0,0,0,0,0,0,0,0,0,0,252,235
PRES,3901839,coriolis,DEU,MOCCA-GER,2016/06/25,2023/07/03 09:44:30,1,2574,1,0,257,221,252,0,2023/05/13 08:37:30,2023/05/29,98.05,0,0,0,0,0,0,0,0,0,0,0,0,257,252
PRES,3901840,coriolis,DEU,MOCCA-GER,2016/05/29,2023/07/06 09:38:30,1,2601,1,0,260,224,243,0,2023/01/14 11:28:30,2023/02/13,93.46,0,0,0,0,0,0,0,0,0,0,0,0,260,243
PRES,3901841,coriolis,DEU,MOCCA-GER,2016/07/31,2023/07/09 14:31:30,1,2538,1,0,254,218,236,0,2023/01/07 11:54:30,2023/03/05,92.91,0,0,0,0,0,0,0,0,0,0,0,0,254,236
PRES,3901842,coriolis,DEU,MOCCA-GER,2016/10/08,2018/10/19 19:31:30,1,2469,1,0,69,69,69,0,2018/10/19 19:31:30,2019/06/04,100.00,0,0,0,0,0,0,0,0,0,0,0,0,69,69
PRES,3901843,coriolis,DEU,MOCCA-GER,2016/10/09,2023/07/10 14:40:30,1,2468,1,0,247,211,243,0,2023/05/30 18:53:30,2023/06/11,98.38,0,0,0,0,0,0,0,0,0,0,0,0,247,243
PRES,3901844,coriolis,DEU,MOCCA-GER,2016/10/13,2023/07/04 09:55:00,1,2464,1,0,246,210,208,2,2022/06/16 11:46:00,2022/07/02,84.55,0,0,0,0,0,0,0,0,0,0,0,0,246,208
PRES,3901845,coriolis,DEU,MOCCA-GER,2016/06/26,2023/07/04 09:46:00,1,2573,1,0,257,221,222,0,2022/07/16 11:54:00,2022/07/26,86.38,0,0,0,0,0,0,0,0,0,0,0,0,257,222
PRES,3901846,coriolis,DEU,MOCCA-GER,2016/10/20,2023/07/11 20:57:30,1,2457,1,0,246,209,228,0,2023/01/09 17:53:30,2023/02/22,92.68,0,0,0,0,0,0,0,0,0,0,0,0,246,228
PRES,3901847,coriolis,DEU,MOCCA-GER,2016/10/22,2023/07/03 19:05:30,1,2455,1,0,245,209,228,0,2023/01/11 21:04:30,2023/02/22,93.06,0,0,0,0,0,0,0,0,0,0,0,0,245,228
PRES,3901848,coriolis,ITA,MOCCA-IT,2016/06/04,2017/05/31 11:57:20,1,2595,1,0,73,73,73,0,2017/05/31 11:57:20,2018/09/12,100.00,0,0,0,0,0,0,0,0,0,0,0,0,73,73
PRES,3901849,coriolis,ITA,MOCCA-IT,2016/06/05,2022/05/16 12:00:20,1,2594,1,0,434,434,265,169,2020/01/17 11:56:20,2020/01/24,61.06,0,0,0,0,0,0,0,0,0,0,0,0,434,265
PRES,3901850,coriolis,POL,MOCCA-POL,2016/06/24,2023/07/12 14:53:30,1,2575,1,0,258,221,226,0,2022/08/23 12:08:30,2022/10/09,87.60,0,0,0,0,0,0,0,0,0,0,0,0,258,226
PRES,3901851,coriolis,POL,MOCCA-POL,2016/06/25,2023/07/04 09:24:00,1,2574,1,0,252,216,221,0,2022/08/25 01:06:00,2022/10/09,87.70,0,0,0,0,0,0,0,0,0,0,0,0,252,221
PRES,3901852,coriolis,EUR,MOCCA-EU,2016/12/06,2022/12/15 05:10:30,1,2410,1,0,438,408,231,177,2020/02/01 11:58:30,2020/02/04,52.74,0,0,0,0,0,0,0,0,0,0,0,0,438,231
PRES,3901853,coriolis,EUR,MOCCA-EU,2016/10/28,2021/08/15 11:55:00,1,2449,1,0,351,351,238,113,2020/01/28 11:47:00,2020/01/30,67.81,0,0,0,0,0,0,0,0,0,0,0,0,351,238
PRES,3901854,coriolis,EUR,MOCCA-EU,2016/11/02,2022/09/18 16:19:00,1,2444,1,0,429,416,238,178,2020/02/02 12:03:00,2020/02/04,55.48,0,0,0,0,0,0,0,0,0,0,0,0,429,238
PRES,3901855,coriolis,EUR,MOCCA-EU,2016/10/22,2022/06/05 12:14:30,1,2455,1,0,410,410,240,170,2020/02/01 12:03:30,2020/02/03,58.54,0,0,0,0,0,0,0,0,0,0,0,0,410,240
PRES,3901856,coriolis,EUR,MOCCA-EU,2016/08/09,2021/12/12 12:03:30,1,2529,1,0,196,196,195,1,2021/12/02 12:02:30,2022/02/18,99.49,0,0,0,0,0,0,0,0,0,0,0,0,196,195
PRES,3901857,coriolis,EUR,MOCCA-EU,2016/08/12,2023/07/08 05:39:30,1,2526,1,0,252,216,221,0,2022/08/25 18:45:30,2022/10/19,87.70,0,0,0,0,0,0,0,0,0,0,0,0,252,221
PRES,3901858,coriolis,EUR,MOCCA-EU,2016/08/14,2023/02/27 14:43:00,1,2524,1,0,236,215,219,0,2022/08/27 18:48:00,2022/10/06,92.80,0,0,0,0,0,0,0,0,0,0,0,0,236,219
