# Warnings for PRES
# Project : MOCCA_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
PRES,3901838,DEU,,X,,
PRES,3901839,DEU,,X,,
PRES,3901840,DEU,,X,,
PRES,3901841,DEU,,X,,
PRES,3901842,DEU,,X,,
PRES,3901843,DEU,,X,,
PRES,3901844,DEU,,X,,
PRES,3901845,DEU,,X,,
PRES,3901846,DEU,,X,,
PRES,3901847,DEU,,X,,
PRES,3901848,ITA,,X,,
PRES,3901849,ITA,,X,,
PRES,3901850,POL,,X,,
PRES,3901851,POL,,X,,
PRES,3901852,EUR,,X,,
PRES,3901853,EUR,,X,,
PRES,3901854,EUR,,X,,
PRES,3901855,EUR,,X,,
PRES,3901856,EUR,,X,,
PRES,3901857,EUR,,X,,
PRES,3901858,EUR,,X,,
PRES,3901859,EUR,,X,,
PRES,3901860,EUR,,X,,
PRES,3901861,EUR,,X,,
PRES,3901862,EUR,,X,,
PRES,3901863,EUR,,X,,
PRES,3901864,EUR,,X,,
PRES,3901865,EUR,,X,,
PRES,3901866,EUR,,X,,
PRES,3901867,EUR,,X,,
PRES,3901868,EUR,,X,,
PRES,3901869,EUR,,X,,
PRES,3901870,EUR,,X,,
PRES,3901871,EUR,,X,,
PRES,3901872,EUR,,X,,
PRES,3901873,EUR,,X,,
PRES,3901874,EUR,,X,,
PRES,3901875,EUR,,X,,
PRES,3901876,NLD,,X,,
PRES,3901877,NLD,,X,,
PRES,3901878,NLD,,X,,
PRES,3901879,NLD,,X,,
PRES,3901880,NLD,,X,,
PRES,3901881,NLD,,X,,
PRES,3901882,NLD,,X,,
PRES,3901883,NLD,,X,,
PRES,3901884,NLD,,X,,
PRES,3901885,NLD,,X,,
PRES,3901886,NLD,,X,,
PRES,3901887,NLD,,X,,
PRES,3901888,NLD,,X,,
PRES,3901889,NLD,,X,,
PRES,3901890,EUR,,X,,
PRES,3901891,EUR,,X,,
PRES,3901892,EUR,,X,,
PRES,3901893,EUR,,X,,
PRES,3901894,EUR,,X,,
PRES,3901895,EUR,,X,,
PRES,3901896,EUR,,X,,
PRES,3901897,EUR,,X,,
PRES,3901898,EUR,,X,,
PRES,3901899,EUR,,X,,
PRES,3901900,EUR,,X,,
PRES,3901901,EUR,,X,,
PRES,3901902,EUR,,X,,
PRES,3901903,EUR,,X,,
PRES,3901904,EUR,,X,,
PRES,3901905,EUR,,X,,
PRES,3901906,EUR,,X,,
PRES,3901907,ITA,,X,,
PRES,3901908,ITA,,X,,
PRES,3901909,EUR,,X,,
PRES,3901910,POL,,X,,
PRES,3901911,POL,,X,,
PRES,3901912,EUR,,X,,
PRES,3901913,EUR,,X,,
PRES,3901914,EUR,,X,,
PRES,3901915,EUR,,X,,
PRES,3901916,EUR,,X,,
PRES,3901917,EUR,,X,,
PRES,3901918,EUR,,X,,
PRES,3901919,EUR,,X,,
PRES,3901920,EUR,,X,,
PRES,3901921,EUR,,X,,
PRES,3901922,EUR,,X,,
PRES,3901923,EUR,,X,,
PRES,3901924,EUR,,X,,
PRES,3901925,EUR,,X,,
PRES,3901926,EUR,,X,,
PRES,3901927,EUR,,X,,
PRES,3901928,EUR,,X,,
PRES,3901929,EUR,,X,,
PRES,3901930,EUR,,X,,
PRES,3901931,EUR,,X,,
PRES,3901932,EUR,,X,,
PRES,3901933,EUR,,X,,
PRES,3901934,EUR,,X,,
PRES,3901935,EUR,,X,,
PRES,3901936,EUR,,X,,
PRES,3901937,EUR,,X,,
PRES,3901938,EUR,,X,,
PRES,3901939,EUR,,X,,
PRES,3901940,EUR,,X,X,
PRES,3901941,EUR,,X,X,
PRES,3901942,EUR,,X,,
PRES,3901943,EUR,,X,,
PRES,3901944,EUR,,X,,
PRES,3901945,EUR,,X,,
PRES,3901946,EUR,,X,,
PRES,3901947,EUR,,X,,
PRES,3901948,EUR,,X,,
PRES,3901949,EUR,,X,,
PRES,3901950,EUR,,X,,
PRES,3901951,EUR,,X,,
PRES,3901952,EUR,,X,,
PRES,3901953,EUR,,X,,
PRES,3901954,EUR,,X,,
PRES,3901955,EUR,,X,,
PRES,3901956,EUR,,X,,
PRES,3901957,EUR,,X,,
PRES,3901958,EUR,,X,,
PRES,3901959,EUR,,X,,
PRES,3901960,EUR,,X,,
PRES,3901964,EUR,,X,,
PRES,3901965,EUR,,X,,
PRES,3901970,EUR,,X,,
PRES,3901971,EUR,,X,,
PRES,3901972,EUR,,X,,
PRES,3901978,ITA,,X,,
PRES,3901979,EUR,,X,,
PRES,3901980,EUR,,X,,
PRES,3901981,EUR,,X,,
PRES,3901982,EUR,,X,,
PRES,3901983,EUR,,X,,
PRES,3901984,EUR,,X,,
PRES,3901985,EUR,,X,,
PRES,3901986,EUR,,X,,
PRES,3901987,EUR,,X,,
PRES,3901989,EUR,,X,,
PRES,3901990,EUR,,X,,
PRES,3901991,EUR,,X,,
PRES,3901992,EUR,,X,,
PRES,3901993,EUR,,X,,
PRES,3901994,EUR,,X,,
PRES,3901995,EUR,,X,,
PRES,3901996,EUR,,X,,
PRES,3902133,EUR,,X,X,
PRES,3902134,EUR,,X,X,
PRES,3902135,EUR,,X,,
PRES,3902136,EUR,,X,,
PRES,3902137,EUR,,X,X,
PRES,6900790,EUR,,X,,
