# DMQC status and Data quality control statistics
# Project : RBR_Fleet
# Update date : 20230713022802

# Statistics per float for parameter TEMP
PARAM,WMO,DAC,COUNTRY,PROGRAM,launch_date,prof_last_date,DM_done,float_age,float_more1year,greylist,nb_prof,nb_prof_more1year,nb_prof_DM,nb_prof_noDM_more1year,prof_last_DM_date,prof_last_DM_update_date,percentage_DM_prof,nb_prof_QC_A,nb_prof_DM_QC_A,nb_prof_QC_B,nb_prof_DM_QC_B,nb_prof_QC_C,nb_prof_DM_QC_C,nb_prof_QC_D,nb_prof_DM_QC_D,nb_prof_QC_E,nb_prof_DM_QC_E,nb_prof_QC_F,nb_prof_DM_QC_F,nb_prof_QC_X,nb_prof_DM_QC_X 
TEMP,1901941,bodc,GBR,Argo UK,2022/07/01,2023/07/05 04:45:18,0,377,1,0,40,2,0,2,,,0.00,35,0,5,0,0,0,0,0,0,0,0,0,0,0
TEMP,1902093,bodc,GBR,Argo UK,2023/02/09,2023/03/09 23:47:16,0,154,0,0,4,0,0,0,,,0.00,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TEMP,1902572,coriolis,FRA,Coriolis,2022/11/17,2023/07/10 00:55:40,0,238,0,0,31,0,0,0,,,0.00,20,0,11,0,0,0,0,0,0,0,0,0,0,0
TEMP,1902573,coriolis,FRA,Coriolis,2022/11/26,2023/07/09 02:52:40,0,229,0,0,30,0,0,0,,,0.00,24,0,6,0,0,0,0,0,0,0,0,0,0,0
TEMP,1902574,coriolis,FRA,Coriolis,2022/09/15,2023/07/10 23:29:40,0,301,0,0,30,0,0,0,,,0.00,26,0,4,0,0,0,0,0,0,0,0,0,0,0
TEMP,2901891,bodc,GBR,Argo UK,2016/06/28,2016/06/29 13:14:51,0,2571,1,0,1,1,0,1,,,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TEMP,2902730,csio,CHN,Argo CHINA,2018/01/11,2022/05/10 17:26:21,0,2009,1,0,178,178,0,178,,,0.00,167,0,11,0,0,0,0,0,0,0,0,0,0,0
TEMP,2903005,jma,JPN,Argo JAMSTEC,2018/02/03,2023/07/11 21:13:14,0,1986,1,0,271,231,0,231,,,0.00,19,0,5,0,0,0,0,0,0,0,247,0,0,0
TEMP,2903327,jma,JPN,Argo JAMSTEC,2018/02/03,2023/07/10 18:26:12,0,1986,1,0,271,231,0,231,,,0.00,19,0,5,0,0,0,0,0,0,0,247,0,0,0
TEMP,2903731,jma,JPN,Argo JAMSTEC,2022/10/23,2023/07/09 11:14:43,0,263,0,0,27,0,0,0,,,0.00,24,0,3,0,0,0,0,0,0,0,0,0,0,0
TEMP,2903766,coriolis,NLD,Argo NETHERLANDS,2022/04/22,2023/07/04 05:11:40,0,447,1,0,55,20,0,20,,,0.00,45,0,10,0,0,0,0,0,0,0,0,0,0,0
TEMP,2903786,coriolis,FRA,Coriolis,2023/03/26,2023/07/04 20:43:40,0,109,0,0,11,0,0,0,,,0.00,7,0,4,0,0,0,0,0,0,0,0,0,0,0
TEMP,3902249,aoml,USA,Argo WHOI,2022/04/05,2023/07/08 17:46:32,0,464,1,0,66,12,0,12,,,0.00,62,0,4,0,0,0,0,0,0,0,0,0,0,0
TEMP,3902250,aoml,USA,Argo WHOI,2022/04/05,2023/07/11 23:33:25,0,464,1,0,67,12,0,12,,,0.00,60,0,7,0,0,0,0,0,0,0,0,0,0,0
TEMP,3902456,coriolis,NLD,Argo NETHERLANDS,2022/04/22,2023/07/04 13:37:40,0,447,1,0,55,20,0,20,,,0.00,49,0,6,0,0,0,0,0,0,0,0,0,0,0
TEMP,3902457,coriolis,NLD,Argo NETHERLANDS,2022/04/22,2023/07/04 13:42:40,0,447,1,0,55,20,0,20,,,0.00,51,0,4,0,0,0,0,0,0,0,0,0,0,0
TEMP,3902489,coriolis,FRA,Coriolis,2023/03/08,2023/07/06 10:52:40,0,127,0,0,13,0,0,0,,,0.00,10,0,3,0,0,0,0,0,0,0,0,0,0,0
TEMP,3902494,bodc,GBR,Argo UK,2023/05/09,2023/07/05 10:28:32,0,65,0,0,6,0,0,0,,,0.00,6,0,0,0,0,0,0,0,0,0,0,0,0,0
