COUNTRY;COUNTRY_CODE
Argentina;EXT
Australia;EXT
Brazil;EXT
Bulgaria;BGR
Canada;EXT
Chile;EXT
China;EXT
Costa Rica;EXT
Denmark;DNK
Ecuador;EXT
European Union;EUR
Finland;FIN
France;FRA
Gabon;EXT
Germany;DEU
Greece;GRC
India;EXT
Indonesia;EXT
Ireland;IRL
Italy;ITA
Japan;EXT
Kenya;EXT
Korea (Republic Of);EXT
Lebanon;EXT
Mauritius;EXT
Mexico;EXT
Morocco;EXT
Netherlands;NLD
New Zealand;EXT
Norway;NOR
Peru;EXT
Poland;POL
Portugal;PRT
Russian Federation;EXT
Saudi Arabia;EXT
South Africa;EXT
Spain;ESP
Sri Lanka;EXT
Sweden;SWE
Turkey;EXT
United Kingdom;GBR
United States;EXT
